symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,4484.84000000,4480.67123840,4493.17752320,2025-12-25 10:46:25,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=4482.912253,30m:EMA55=4484.448166,1h:EMA21=4484.025034,1h:EMA55=4474.904131,4h:EMA21=4458.804476,4h:EMA55=4399.050184 | TF_RSI=5m:RSI=57.0,15m:RSI=57.24,30m:RSI=52.15,1h:RSI=50.55,4h:RSI=61.83 | TF_MACD=5m:MACD=0.62144,5m:HIST=-0.106536,15m:MACD=0.932067,15m:HIST=0.514194,30m:MACD=-0.338956,30m:HIST=0.858947,1h:MACD=-1.286601,1h:HIST=0.191119,4h:MACD=29.25201,4h:HIST=-4.880015 | BS15=1.0 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=1.000 [حد ≥ 0.6]|EMA21=4484.03, EMA55=4474.90|EMA21=4458.80, EMA55=4399.05, EMA200=0.00|RSI=52.15 [حد ≥ 5]|MACD_hist=0.0000 [حد ≥ 5]|Price=4484.84, EMA21=4482.91, Th=0.0"
XAUT-USDT,LONG,LOW,4484.84000000,4480.67123840,4493.17752320,2025-12-25 11:10:12,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=4482.912253,30m:EMA55=4484.448166,1h:EMA21=4484.025034,1h:EMA55=4474.904131,4h:EMA21=4458.804476,4h:EMA55=4399.050184 | TF_RSI=5m:RSI=57.0,15m:RSI=57.24,30m:RSI=52.15,1h:RSI=50.55,4h:RSI=61.83 | TF_MACD=5m:MACD=0.62144,5m:HIST=-0.106536,15m:MACD=0.932067,15m:HIST=0.514194,30m:MACD=-0.338956,30m:HIST=0.858947,1h:MACD=-1.286601,1h:HIST=0.191119,4h:MACD=29.25201,4h:HIST=-4.880015 | BS15=1.0 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=1.000 [حد ≥ 0.6]|EMA21=4484.03, EMA55=4474.90|EMA21=4458.80, EMA55=4399.05, EMA200=0.00|RSI=52.15 [حد ≥ 5]|MACD_hist=0.0000 [حد ≥ 5]|Price=4484.84, EMA21=4482.91, Th=0.0"
DOGE-USDT,SHORT,HIGH,0.12776000,0.12826520,0.12674960,2025-12-25 11:10:12,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.128361,30m:EMA55=0.128506,1h:EMA21=0.128414,1h:EMA55=0.129071,4h:EMA21=0.129446,4h:EMA55=0.130995 | TF_RSI=5m:RSI=27.25,15m:RSI=33.85,30m:RSI=37.97,1h:RSI=42.56,4h:RSI=41.17 | TF_MACD=5m:MACD=-0.00017,5m:HIST=-4.6e-05,15m:MACD=-0.000151,15m:HIST=-8.5e-05,30m:MACD=-5.9e-05,30m:HIST=-0.000103,1h:MACD=-0.000115,1h:HIST=2.5e-05,4h:MACD=-0.000792,4h:HIST=-0.000221 | BS15=0.769 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.769 [حد ≥ 0.35]|EMA21=0.13, EMA55=0.13|EMA21=0.13, EMA55=0.13, EMA200=0.00|RSI=37.97 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=0.13, EMA21=0.13, Th=0.003"
SUI-USDT,SHORT,HIGH,1.40770000,1.41470920,1.39368160,2025-12-25 11:10:13,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.414442,30m:EMA55=1.416655,1h:EMA21=1.415518,1h:EMA55=1.423284,4h:EMA21=1.429059,4h:EMA55=1.455568 | TF_RSI=5m:RSI=31.35,15m:RSI=37.93,30m:RSI=40.67,1h:RSI=43.74,4h:RSI=41.31 | TF_MACD=5m:MACD=-0.001751,5m:HIST=-0.000643,15m:MACD=-0.001441,15m:HIST=-0.000746,30m:MACD=-0.000841,30m:HIST=-0.000954,1h:MACD=-0.001605,1h:HIST=0.000275,4h:MACD=-0.011394,4h:HIST=-0.001741 | BS15=0.826 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.826 [حد ≥ 0.35]|EMA21=1.42, EMA55=1.42|EMA21=1.43, EMA55=1.46, EMA200=0.00|RSI=40.67 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=1.41, EMA21=1.41, Th=0.003"
XAUT-USDT,LONG,LOW,4487.96000000,4483.35860840,4497.16278320,2025-12-25 11:49:01,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=4483.385002,30m:EMA55=4484.52647,1h:EMA21=4484.237304,1h:EMA55=4475.3098,4h:EMA21=4461.309523,4h:EMA55=4402.164905 | TF_RSI=5m:RSI=62.33,15m:RSI=63.35,30m:RSI=55.93,1h:RSI=52.75,4h:RSI=62.57 | TF_MACD=5m:MACD=0.564096,5m:HIST=0.037755,15m:MACD=1.109822,15m:HIST=0.35811,30m:MACD=0.122925,30m:HIST=0.913025,1h:MACD=-0.894681,1h:HIST=0.488895,4h:MACD=27.819958,4h:HIST=-5.02719 | BS15=0.979 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.979 [حد ≥ 0.6]|EMA21=4484.24, EMA55=4475.31|EMA21=4461.31, EMA55=4402.16, EMA200=0.00|RSI=55.93 [حد ≥ 5]|MACD_hist=0.0000 [حد ≥ 5]|Price=4487.96, EMA21=4483.39, Th=0.0"
ETH-USDT,SHORT,HIGH,2928.63000000,2938.75746000,2908.37508000,2025-12-25 11:49:01,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=2942.025658,30m:EMA55=2943.669325,1h:EMA21=2942.332766,1h:EMA55=2951.809666,4h:EMA21=2955.039262,4h:EMA55=2976.621023 | TF_RSI=5m:RSI=25.76,15m:RSI=30.98,30m:RSI=37.85,1h:RSI=42.21,4h:RSI=42.61 | TF_MACD=5m:MACD=-1.254758,5m:HIST=-0.708407,15m:MACD=-2.510645,15m:HIST=-0.865117,30m:MACD=-1.205814,30m:HIST=-1.790814,1h:MACD=-1.448043,1h:HIST=-0.453114,4h:MACD=-11.712418,4h:HIST=-3.038403 | BS15=0.714 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.714 [حد ≥ 0.35]|EMA21=2942.33, EMA55=2951.81|EMA21=2955.04, EMA55=2976.62, EMA200=0.00|RSI=37.85 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=2928.63, EMA21=2942.03, Th=0.003"
BNB-USDT,SHORT,HIGH,841.47500000,843.64257800,837.13984400,2025-12-25 11:49:01,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=844.276981,30m:EMA55=844.463477,1h:EMA21=844.168631,1h:EMA55=845.920719,4h:EMA21=846.827654,4h:EMA55=853.65861 | TF_RSI=5m:RSI=34.48,15m:RSI=35.77,30m:RSI=37.36,1h:RSI=42.64,4h:RSI=43.01 | TF_MACD=5m:MACD=-0.189494,5m:HIST=-0.046194,15m:MACD=-0.914011,15m:HIST=-0.020437,30m:MACD=-0.67351,30m:HIST=-0.532543,1h:MACD=-0.169105,1h:HIST=-0.395996,4h:MACD=-3.128892,4h:HIST=-0.23594 | BS15=0.74 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.740 [حد ≥ 0.35]|EMA21=844.17, EMA55=845.92|EMA21=846.83, EMA55=853.66, EMA200=0.00|RSI=37.36 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=841.48, EMA21=844.28, Th=0.003"
SOL-USDT,SHORT,HIGH,121.94000000,122.43139400,120.95721200,2025-12-25 11:49:01,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=122.470252,30m:EMA55=122.637201,1h:EMA21=122.526118,1h:EMA55=123.168408,4h:EMA21=123.551193,4h:EMA55=125.470632 | TF_RSI=5m:RSI=34.85,15m:RSI=35.46,30m:RSI=39.66,1h:RSI=43.1,4h:RSI=39.72 | TF_MACD=5m:MACD=-0.053143,5m:HIST=0.002125,15m:MACD=-0.139131,15m:HIST=-0.032493,30m:MACD=-0.092737,30m:HIST=-0.084298,1h:MACD=-0.141698,1h:HIST=-0.011086,4h:MACD=-0.94408,4h:HIST=-0.118549 | BS15=0.902 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.902 [حد ≥ 0.35]|EMA21=122.53, EMA55=123.17|EMA21=123.55, EMA55=125.47, EMA200=0.00|RSI=39.66 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=121.94, EMA21=122.47, Th=0.003"
DOGE-USDT,SHORT,HIGH,0.12771000,0.12826320,0.12660360,2025-12-25 11:49:01,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.128319,30m:EMA55=0.128485,1h:EMA21=0.128367,1h:EMA55=0.12903,4h:EMA21=0.129305,4h:EMA55=0.130885 | TF_RSI=5m:RSI=36.51,15m:RSI=37.65,30m:RSI=37.64,1h:RSI=42.01,4h:RSI=40.93 | TF_MACD=5m:MACD=-9.7e-05,5m:HIST=1.9e-05,15m:MACD=-0.000173,15m:HIST=-6.1e-05,30m:MACD=-8.9e-05,30m:HIST=-0.000109,1h:MACD=-0.000146,1h:HIST=-8e-06,4h:MACD=-0.000812,4h:HIST=-0.000196 | BS15=1.0 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=1.000 [حد ≥ 0.35]|EMA21=0.13, EMA55=0.13|EMA21=0.13, EMA55=0.13, EMA200=0.00|RSI=37.64 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=0.13, EMA21=0.13, Th=0.003"
APT-USDT,LONG,HIGH,1.66700000,1.64919320,1.70261360,2025-12-25 11:49:01,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.652941,30m:EMA55=1.62761,1h:EMA21=1.637042,1h:EMA55=1.61673,4h:EMA21=1.617726,4h:EMA55=1.61633 | TF_RSI=5m:RSI=43.96,15m:RSI=55.52,30m:RSI=62.99,1h:RSI=65.37,4h:RSI=61.6 | TF_MACD=5m:MACD=0.000456,5m:HIST=-0.001005,15m:MACD=0.008048,15m:HIST=-0.001837,30m:MACD=0.016635,30m:HIST=-0.000101,1h:MACD=0.020801,1h:HIST=0.00475,4h:MACD=0.014349,4h:HIST=0.00726 | BS15=0.695 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.695 [حد ≥ 0.35]|EMA21=1.64, EMA55=1.62|EMA21=1.62, EMA55=1.62, EMA200=0.00|RSI=62.99 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=1.67, EMA21=1.65, Th=0.003"
