symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,MEDIUM,4974.92000000,4964.05182680,4996.65634640,2026-02-20 07:37:46,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=4976.11, EMA55=4961.52;❌ روند EMA 4h: EMA21=4958.98, EMA55=4962.08, EMA200=4887.22;❌ RSI 30m: RSI=46.68 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.7597 | سطح=MEDIUM;❌ شکست ورود: قیمت=4974.92, EMA21=4979.34, آستانه=0.003;✅ ADX: ADX=52.63 [حد > 25];❌ CCI: CCI=-52.94;✅ SAR: SAR=4973.0776, قیمت=4974.9200;❌ Stochastic: K=14.05, D=4.68;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BNB-USDT,SHORT,MEDIUM,607.27400000,610.22428040,601.37343920,2026-02-20 07:37:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.534 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=606.50, EMA55=609.38;✅ روند EMA 4h: EMA21=611.13, EMA55=623.00, EMA200=715.24;❌ RSI 30m: RSI=52.61 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0452 | سطح=MEDIUM;❌ شکست ورود: قیمت=607.27, EMA21=606.63, آستانه=0.003;✅ ADX: ADX=40.55 [حد > 25];❌ CCI: CCI=27.04;✅ SAR: SAR=607.2843, قیمت=607.2740;❌ Stochastic: K=41.82, D=13.94;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XRP-USDT,SHORT,LOW,1.41089000,1.42089680,1.39087640,2026-02-20 07:37:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.490 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.818 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.41, EMA55=1.43;✅ روند EMA 4h: EMA21=1.44, EMA55=1.45, EMA200=1.61;✅ RSI 30m: RSI=48.67 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0004 | سطح=MEDIUM;❌ شکست ورود: قیمت=1.41, EMA21=1.41, آستانه=0.003;✅ ADX: ADX=67.10 [حد > 25];❌ CCI: CCI=-16.21;✅ SAR: SAR=1.4116, قیمت=1.4109;❌ Stochastic: K=46.50, D=15.50;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleBottom"
OP-USDT,SHORT,LOW,0.13020000,0.13357560,0.12344880,2026-02-20 07:37:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.636 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.14, EMA55=0.16;✅ روند EMA 4h: EMA21=0.16, EMA55=0.18, EMA200=0.22;✅ RSI 30m: RSI=28.44 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0005 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.13, EMA21=0.14, آستانه=0.003;✅ ADX: ADX=28.94 [حد > 25];✅ CCI: CCI=-191.56;❌ SAR: SAR=0.1292, قیمت=0.1302;❌ Stochastic: K=19.51, D=6.50;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
APT-USDT,SHORT,LOW,0.86410000,0.87142720,0.84944560,2026-02-20 10:13:36,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.486 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.87, EMA55=0.88;✅ روند EMA 4h: EMA21=0.89, EMA55=0.94, EMA200=1.21;✅ RSI 30m: RSI=49.73 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0004 | سطح=MEDIUM;❌ شکست ورود: قیمت=0.86, EMA21=0.86, آستانه=0.003;✅ ADX: ADX=59.80 [حد > 25];❌ CCI: CCI=-37.69;❌ SAR: SAR=0.8616, قیمت=0.8641;❌ Stochastic: K=40.00, D=13.33;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
ARB-USDT,SHORT,LOW,0.09680000,0.09817400,0.09405200,2026-02-20 10:13:37,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.571 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA55=0.10;✅ روند EMA 4h: EMA21=0.11, EMA55=0.11, EMA200=0.14;✅ RSI 30m: RSI=42.09 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0001 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.10, EMA21=0.10, آستانه=0.003;✅ ADX: ADX=41.46 [حد > 25];✅ CCI: CCI=-114.97;❌ SAR: SAR=0.0963, قیمت=0.0968;❌ Stochastic: K=40.00, D=13.33;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BTC-USDT,LONG,MEDIUM,67893.00000000,67574.20554240,68530.58891520,2026-02-20 11:11:54,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.647 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.797 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=67199.82, EMA55=67215.58;❌ روند EMA 4h: EMA21=67443.19, EMA55=68389.79, EMA200=75553.68;✅ RSI 30m: RSI=66.47 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=54.6487 | سطح=MEDIUM;✅ شکست ورود: قیمت=67893.00, EMA21=67401.30, آستانه=0.003;✅ ADX: ADX=86.48 [حد > 25];✅ CCI: CCI=150.55;✅ SAR: SAR=67772.7960, قیمت=67893.0000;✅ Stochastic: K=86.90, D=28.97;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
SOL-USDT,LONG,MEDIUM,83.62000000,82.98225640,84.89548720,2026-02-20 11:11:54,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.739 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.625 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=82.52, EMA55=82.73;❌ روند EMA 4h: EMA21=83.21, EMA55=84.78, EMA200=99.44;✅ RSI 30m: RSI=63.49 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0430 | سطح=MEDIUM;✅ شکست ورود: قیمت=83.62, EMA21=82.90, آستانه=0.003;✅ ADX: ADX=72.36 [حد > 25];✅ CCI: CCI=141.64;✅ SAR: SAR=83.5412, قیمت=83.6200;✅ Stochastic: K=80.79, D=26.93;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XAUT-USDT,LONG,LOW,5001.13000000,4991.88231100,5024.24922250,2026-02-20 12:01:22,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=4983.66, EMA55=4966.75;✅ روند EMA 4h: EMA21=4964.27, EMA55=4964.08, EMA200=4888.15;✅ RSI 30m: RSI=60.93 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=1.1705 | سطح=MEDIUM;❌ شکست ورود: قیمت=5001.13, EMA21=4988.97, آستانه=0.003;✅ ADX: ADX=60.54 [حد > 25];✅ CCI: CCI=108.12;✅ SAR: SAR=4990.4284, قیمت=5001.1300;❌ Stochastic: K=71.86, D=23.95;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BTC-USDT,LONG,MEDIUM,67879.40000000,67633.00160100,68495.39599750,2026-02-20 12:01:22,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.556 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.556 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=67255.81, EMA55=67236.87;❌ روند EMA 4h: EMA21=67477.05, EMA55=68369.14, EMA200=75478.88;✅ RSI 30m: RSI=65.21 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=35.8521 | سطح=MEDIUM;✅ شکست ورود: قیمت=67879.40, EMA21=67477.56, آستانه=0.003;✅ ADX: ADX=88.27 [حد > 25];✅ CCI: CCI=107.52;✅ SAR: SAR=67804.1780, قیمت=67879.4000;✅ Stochastic: K=85.37, D=28.46;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
