symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,MEDIUM,5167.25000000,5158.55275000,5184.64450000,2026-02-27 11:09:54,STOP_HIT,2026-02-27 13:42:00,5158.55275000,0.020000,-0.036831,10.00,-0.1683,"✅ قدرت کندل 15m: BS15=0.632 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=5165.17, EMA50=5161.22;✅ روند EMA 4h: EMA21=5154.26, EMA50=5112.86;✅ RSI 30m: RSI=50.37;❌ MACD 30m: MACD_hist=-0.2812;❌ ورود هوشمند پولبک: قیمت=5167.2500 EMA=5167.8153 RSI=50.4 BS15=0.632;❌ ADX: ADX=11.06 [>25], DI+=331.04, DI-=413.36;❌ CCI عبور از ۰: CCI=-19.70;✅ SAR: SAR=5163.7984, قیمت=5167.2500;✅ Stochastic کراس: K=54.14 D=18.05;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0007 [>0.007]"
ETH-USDT,LONG,MEDIUM,2024.74000000,2017.48526000,2039.24948000,2026-02-27 11:09:54,TP_HIT,2026-02-27 11:39:00,2039.24948000,0.020000,0.051661,10.00,0.7166,"✅ قدرت کندل 15m: BS15=0.649 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.821 [≥ 0.48];✅ روند EMA 1h: EMA21=2032.02, EMA50=2011.77;❌ روند EMA 4h: EMA21=1989.58, EMA50=1971.46;❌ RSI 30m: RSI=45.93;✅ MACD 30m: MACD_hist=0.0757;❌ ورود هوشمند پولبک: قیمت=2024.7400 EMA=2032.3418 RSI=45.9 BS15=0.649;✅ ADX: ADX=71.93 [>25], DI+=633.91, DI-=103.51;❌ CCI عبور از ۰: CCI=-32.64;❌ SAR: SAR=2029.9164, قیمت=2024.7400;✅ Stochastic کراس: K=37.93 D=12.64;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;❌ فیلتر رنج: فاصله EMA=0.0008 [>0.007]"
FIL-USDT,LONG,MEDIUM,1.03040000,1.01206960,1.06706080,2026-02-27 11:09:54,STOP_HIT,2026-02-27 14:24:00,1.01206960,0.020000,-0.197896,10.00,-1.7790,"❌ قدرت کندل 15m: BS15=0.026 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.289 [≥ 0.48];✅ روند EMA 1h: EMA21=1.02, EMA50=1.00;❌ روند EMA 4h: EMA21=0.99, EMA50=0.96;✅ RSI 30m: RSI=54.76;✅ MACD 30m: MACD_hist=0.0002;❌ ورود هوشمند پولبک: قیمت=1.0304 EMA=1.0258 RSI=54.8 BS15=0.026;✅ ADX: ADX=63.33 [>25], DI+=641.79, DI-=144.07;✅ CCI عبور از ۰: CCI=34.61;✅ SAR: SAR=1.0264, قیمت=1.0304;✅ Stochastic کراس: K=52.27 D=17.42;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0073 [>0.007]"
ADA-USDT,LONG,MEDIUM,0.29190000,0.28910810,0.29748380,2026-02-27 12:01:53,STOP_HIT,2026-02-27 13:41:00,0.28910810,0.020000,-0.115646,10.00,-0.9565,"✅ قدرت کندل 15m: BS15=0.500 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.48];✅ روند EMA 1h: EMA21=0.29, EMA50=0.29;❌ روند EMA 4h: EMA21=0.28, EMA50=0.28;✅ RSI 30m: RSI=55.67;✅ MACD 30m: MACD_hist=0.0002;❌ ورود هوشمند پولبک: قیمت=0.2919 EMA=0.2905 RSI=55.7 BS15=0.500;✅ ADX: ADX=72.52 [>25], DI+=448.16, DI-=71.39;✅ CCI عبور از ۰: CCI=49.75;✅ SAR: SAR=0.2903, قیمت=0.2919;✅ Stochastic کراس: K=54.17 D=18.06;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0027 [>0.007]"
SOL-USDT,LONG,MEDIUM,87.48000000,86.72252000,88.99496000,2026-02-27 13:02:50,STOP_HIT,2026-02-27 13:15:00,86.72252000,0.020000,-0.106589,10.00,-0.8659,"✅ قدرت کندل 15m: BS15=0.750 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [≥ 0.48];✅ روند EMA 1h: EMA21=86.90, EMA50=85.93;❌ روند EMA 4h: EMA21=85.09, EMA50=84.06;✅ RSI 30m: RSI=56.75;✅ MACD 30m: MACD_hist=0.0384;❌ ورود هوشمند پولبک: قیمت=87.4800 EMA=87.0845 RSI=56.7 BS15=0.750;✅ ADX: ADX=76.14 [>25], DI+=556.90, DI-=75.42;✅ CCI عبور از ۰: CCI=51.15;✅ SAR: SAR=87.3710, قیمت=87.4800;✅ Stochastic کراس: K=58.33 D=19.44;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0035 [>0.007]"
DOT-USDT,LONG,MEDIUM,1.62510000,1.58947490,1.69635020,2026-02-27 13:02:50,STOP_HIT,2026-02-27 14:23:00,1.58947490,0.020000,-0.239218,10.00,-2.1922,"✅ قدرت کندل 15m: BS15=0.940 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.940 [≥ 0.48];✅ روند EMA 1h: EMA21=1.60, EMA50=1.55;❌ روند EMA 4h: EMA21=1.51, EMA50=1.42;✅ RSI 30m: RSI=54.64;❌ MACD 30m: MACD_hist=-0.0014;❌ ورود هوشمند پولبک: قیمت=1.6251 EMA=1.6138 RSI=54.6 BS15=0.940;✅ ADX: ADX=62.59 [>25], DI+=525.29, DI-=120.86;✅ CCI عبور از ۰: CCI=5.21;✅ SAR: SAR=1.6086, قیمت=1.6251;✅ Stochastic کراس: K=37.36 D=12.45;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0097 [>0.007]"
LTC-USDT,LONG,MEDIUM,56.03000000,55.62397000,56.84206000,2026-02-27 13:02:51,STOP_HIT,2026-02-27 13:15:00,55.62397000,0.020000,-0.092467,10.00,-0.7247,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=55.84, EMA50=55.41;❌ روند EMA 4h: EMA21=54.98, EMA50=54.35;✅ RSI 30m: RSI=54.30;✅ MACD 30m: MACD_hist=0.0103;❌ ورود هوشمند پولبک: قیمت=56.0300 EMA=55.8744 RSI=54.3 BS15=1.000;✅ ADX: ADX=42.86 [>25], DI+=435.03, DI-=174.01;✅ CCI عبور از ۰: CCI=59.62;✅ SAR: SAR=55.8520, قیمت=56.0300;✅ Stochastic کراس: K=53.42 D=17.81;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0014 [>0.007]"
ARB-USDT,LONG,MEDIUM,0.10700000,0.10359300,0.11381400,2026-02-27 14:36:06,STOP_HIT,2026-02-27 16:16:00,0.10359300,0.020000,-0.338411,10.00,-3.1841,"✅ قدرت کندل 15m: BS15=0.765 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA50=0.10;❌ روند EMA 4h: EMA21=0.10, EMA50=0.10;✅ RSI 30m: RSI=57.49;✅ MACD 30m: MACD_hist=0.0002;❌ ورود هوشمند پولبک: قیمت=0.1070 EMA=0.1061 RSI=57.5 BS15=0.765;✅ ADX: ADX=70.79 [>25], DI+=601.13, DI-=102.82;✅ CCI عبور از ۰: CCI=35.73;❌ SAR: SAR=0.1083, قیمت=0.1070;✅ Stochastic کراس: K=42.31 D=14.10;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0276 [>0.007]"
XAUT-USDT,LONG,MEDIUM,5171.12000000,5151.18888000,5210.98224000,2026-02-27 16:07:47,TP_HIT,2026-02-27 16:51:00,5210.98224000,0.020000,0.057086,10.00,0.7709,"✅ قدرت کندل 15m: BS15=0.858 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.814 [≥ 0.48];✅ روند EMA 1h: EMA21=5165.70, EMA50=5162.13;✅ روند EMA 4h: EMA21=5157.10, EMA50=5117.29;✅ RSI 30m: RSI=54.00;✅ MACD 30m: MACD_hist=0.2039;❌ ورود هوشمند پولبک: قیمت=5171.1200 EMA=5167.4328 RSI=54.0 BS15=0.858;❌ ADX: ADX=16.32 [>25], DI+=297.52, DI-=214.02;✅ CCI عبور از ۰: CCI=64.37;❌ SAR: SAR=5171.4474, قیمت=5171.1200;✅ Stochastic کراس: K=58.90 D=19.63;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0005 [>0.007]"
XRP-USDT,SHORT,MEDIUM,1.37169000,1.40859169,1.29788662,2026-02-27 18:03:54,STOP_HIT,2026-02-27 18:04:00,1.40859169,0.020000,-0.289024,10.00,-2.6902,"✅ قدرت کندل 15m: BS15=0.661 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.661 [≥ 0.48];✅ روند EMA 1h: EMA21=1.40, EMA50=1.41;✅ روند EMA 4h: EMA21=1.40, EMA50=1.41;✅ RSI 30m: RSI=31.50;✅ MACD 30m: MACD_hist=-0.0035;❌ ورود هوشمند پولبک: قیمت=1.3717 EMA=1.3908 RSI=31.5 BS15=0.661;❌ ADX: ADX=1.45 [>25], DI+=341.70, DI-=351.77;✅ CCI عبور از ۰: CCI=-110.94;❌ SAR: SAR=1.3652, قیمت=1.3717;❌ Stochastic کراس: K=13.39 D=4.46;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0082 [>0.007]"
