symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,LONG,MEDIUM,613.26300000,612.38873700,615.01152600,2026-08-12 07:26:20,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.749 [≥ 0.4];❌ قدرت کندل 5m: BS5=0.909 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=611.35, EMA50=607.35;✅ روند EMA 4h: EMA21=604.87, EMA50=598.85, EMA200=583.40;✅ RSI 30m: RSI=50.88;❌ MACD 30m: MACD_hist=-0.4032;❌ ورود هوشمند پولبک: قیمت=613.2630 EMA=613.8207 RSI=50.9 BS15=0.749;❌ ADX: ADX=18.95 [>25], DI+=293.09, DI-=430.14;✅ CCI عبور از ۰: CCI=-10.98;❌ SAR: SAR=613.8076, قیمت=613.2630;❌ Stochastic کراس: K=15.68 D=5.23;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0056 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0056, ADX=18.95 -> ✅ OK"
DOGE-USDT,LONG,MEDIUM,0.07223000,0.07177777,0.07313446,2026-08-12 07:26:20,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.615 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.600 [≥ 0.4];✅ روند EMA 1h: EMA21=0.07, EMA50=0.07;❌ روند EMA 4h: EMA21=0.07, EMA50=0.07, EMA200=0.07;✅ RSI 30m: RSI=59.18;❌ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.0722 EMA=0.0718 RSI=59.2 BS15=0.615;❌ ADX: ADX=7.69 [>25], DI+=227.03, DI-=264.86;✅ CCI عبور از ۰: CCI=58.36;✅ SAR: SAR=0.0719, قیمت=0.0722;✅ Stochastic کراس: K=40.00 D=13.33;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0084 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0084, ADX=7.69 -> ✅ OK"
TRX-USDT,LONG,LOW,0.33440000,0.33316560,0.33686880,2026-08-12 07:26:21,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=1.000 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=0.33, EMA50=0.33;✅ روند EMA 4h: EMA21=0.33, EMA50=0.33, EMA200=0.33;✅ RSI 30m: RSI=46.66;❌ MACD 30m: MACD_hist=-0.0002;❌ ورود هوشمند پولبک: قیمت=0.3344 EMA=0.3347 RSI=46.7 BS15=1.000;✅ ADX: ADX=93.55 [>25], DI+=666.67, DI-=22.22;❌ CCI عبور از ۰: CCI=-152.18;✅ SAR: SAR=0.3335, قیمت=0.3344;✅ Stochastic کراس: K=40.91 D=13.64;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0016 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0016, ADX=93.55 -> ✅ OK"
APT-USDT,SHORT,MEDIUM,0.57660000,0.58182980,0.56614040,2026-08-12 07:26:21,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=1.000 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=0.000 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=0.58, EMA50=0.58;✅ روند EMA 4h: EMA21=0.59, EMA50=0.59, EMA200=0.60;✅ RSI 30m: RSI=44.88;❌ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.5766 EMA=0.5780 RSI=44.9 BS15=1.000;❌ ADX: ADX=55.41 [>22], DI+=577.06, DI-=165.59;✅ CCI عبور از ۰: CCI=-23.66;✅ SAR: SAR=0.5774, قیمت=0.5766;❌ Stochastic کراس: K=31.58 D=10.53;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0050 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0050, ADX=55.41 -> ✅ OK"
FIL-USDT,LONG,MEDIUM,0.70830000,0.70549170,0.71391660,2026-08-12 07:26:22,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.625 [≥ 0.4];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=0.71, EMA50=0.71;❌ روند EMA 4h: EMA21=0.71, EMA50=0.71, EMA200=0.73;✅ RSI 30m: RSI=51.06;❌ MACD 30m: MACD_hist=-0.0006;❌ ورود هوشمند پولبک: قیمت=0.7083 EMA=0.7084 RSI=51.1 BS15=0.625;❌ ADX: ADX=22.37 [>25], DI+=293.10, DI-=462.07;❌ CCI عبور از ۰: CCI=-59.51;✅ SAR: SAR=0.7062, قیمت=0.7083;✅ Stochastic کراس: K=28.00 D=9.33;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0026 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0026, ADX=22.37 -> ✅ OK"
XAUT-USDT,LONG,LOW,4374.51000000,4357.18549000,4409.15902000,2026-08-12 08:55:56,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.963 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=0.944 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=4367.78, EMA50=4357.70;✅ روند EMA 4h: EMA21=4344.50, EMA50=4280.84, EMA200=4151.66;✅ RSI 30m: RSI=53.64;✅ MACD 30m: MACD_hist=1.3794;❌ ورود هوشمند پولبک: قیمت=4374.5100 EMA=4371.3487 RSI=53.6 BS15=0.963;✅ ADX: ADX=49.44 [>25], DI+=504.56, DI-=170.69;✅ CCI عبور از ۰: CCI=62.32;❌ SAR: SAR=4376.8300, قیمت=4374.5100;✅ Stochastic کراس: K=55.58 D=18.53;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0013 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0013, ADX=49.44 -> ✅ OK"
ATOM-USDT,LONG,MEDIUM,1.43060000,1.42276940,1.44626120,2026-08-12 08:55:56,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.261 [خیلی پایین - کندل ضعیف];✅ قدرت کندل 5m: BS5=0.545 [≥ 0.4];✅ روند EMA 1h: EMA21=1.43, EMA50=1.41;❌ روند EMA 4h: EMA21=1.40, EMA50=1.38, EMA200=1.42;✅ RSI 30m: RSI=46.78;❌ MACD 30m: MACD_hist=-0.0019;❌ ورود هوشمند پولبک: قیمت=1.4306 EMA=1.4353 RSI=46.8 BS15=0.261;❌ ADX: ADX=55.26 [>25], DI+=142.73, DI-=495.35;❌ CCI عبور از ۰: CCI=-226.80;✅ SAR: SAR=1.4270, قیمت=1.4306;✅ Stochastic کراس: K=28.32 D=9.44;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0061 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0061, ADX=55.26 -> ✅ OK"
ARB-USDT,LONG,MEDIUM,0.07960000,0.07942040,0.07995920,2026-08-12 08:55:57,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [خیلی پایین - کندل ضعیف];❌ قدرت کندل 5m: BS5=0.000 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=0.08, EMA50=0.08;❌ روند EMA 4h: EMA21=0.08, EMA50=0.08, EMA200=0.08;✅ RSI 30m: RSI=49.19;❌ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.0796 EMA=0.0797 RSI=49.2 BS15=0.000;✅ ADX: ADX=36.84 [>25], DI+=455.00, DI-=210.00;✅ CCI عبور از ۰: CCI=-3.01;✅ SAR: SAR=0.0795, قیمت=0.0796;✅ Stochastic کراس: K=36.84 D=12.28;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0019 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0019, ADX=36.84 -> ✅ OK"
XAUT-USDT,LONG,LOW,4380.09000000,4360.41991000,4419.43018000,2026-08-12 10:21:19,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=1.000 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=4368.85, EMA50=4358.55;✅ روند EMA 4h: EMA21=4345.01, EMA50=4281.06, EMA200=4151.72;✅ RSI 30m: RSI=57.21;✅ MACD 30m: MACD_hist=0.1094;❌ ورود هوشمند پولبک: قیمت=4380.0900 EMA=4372.4592 RSI=57.2 BS15=1.000;✅ ADX: ADX=64.11 [>25], DI+=675.94, DI-=147.81;✅ CCI عبور از ۰: CCI=46.43;✅ SAR: SAR=4368.5652, قیمت=4380.0900;✅ Stochastic کراس: K=64.53 D=21.51;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0013 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0013, ADX=64.11 -> ✅ OK"
DOGE-USDT,LONG,MEDIUM,0.07162000,0.07133838,0.07218324,2026-08-12 10:21:20,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.750 [≥ 0.4];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=0.07, EMA50=0.07;❌ روند EMA 4h: EMA21=0.07, EMA50=0.07, EMA200=0.07;✅ RSI 30m: RSI=47.22;❌ MACD 30m: MACD_hist=-0.0001;✅ ورود هوشمند پولبک: قیمت=0.0716 EMA=0.0719 RSI=47.2 BS15=0.750;❌ ADX: ADX=4.35 [>25], DI+=325.68, DI-=355.29;❌ CCI عبور از ۰: CCI=-198.17;✅ SAR: SAR=0.0715, قیمت=0.0716;❌ Stochastic کراس: K=19.27 D=6.42;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0068 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0068, ADX=4.35 -> ✅ OK"
