symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
BTC-USDT,LONG,MEDIUM,79930.70000000,79573.18568217,80681.48006745,2026-09-07 00:10:45,1788727245,STOP_HIT,1788739440,2026-09-07 07:42:00,79533.39908933,0.2000,-0.6971,10.00,10.00,100.00,-6.9706,33186,33198,"4h trend=0.85:price=79819.1 EMA21=79639.9 EMA55=78796.3 ADX=14.3 | 1h trend=0.50:price=79819.1 EMA21=79821.2 EMA55=79757.3 ADX=17.6 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=79592.8, distance=0.423% | momentum=1.00:RSI=55.9, MACD_hist=20.8595, ADX=23.4 | volume=0.50:volume ratio=1.00x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=130.762 (0.16%) | multi-timeframe=0.62:weighted alignment=0.62"
TRX-USDT,LONG,MEDIUM,0.33530000,0.33513521,0.33564606,2026-09-07 00:10:47,1788727249,TP_HIT,1788727189,2026-09-07 00:11:00,0.33547824,0.2000,-0.1468,10.00,10.00,100.00,-1.4684,33187,33191,"4h trend=0.50:price=0.335 EMA21=0.332525 EMA55=0.332782 ADX=25.4 | 1h trend=1.00:price=0.335 EMA21=0.334607 EMA55=0.333196 ADX=34.3 | 30m structure=0.50:HH=True, HL=False | key level=1.00:support=0.3352, distance=0.030% | momentum=0.70:RSI=55.8, MACD_hist=-6.67464e-05, ADX=36.6 | volume=0.20:volume ratio=0.84x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=0.000431925 (0.13%) | multi-timeframe=0.84:weighted alignment=0.84"
APT-USDT,LONG,MEDIUM,0.61860000,0.61309899,0.63015212,2026-09-07 00:10:50,1788727252,TP_HIT,1788739440,2026-09-07 03:59:00,0.62983704,0.2000,1.6165,10.00,10.00,100.00,16.1653,33188,33199,"4h trend=1.00:price=0.6172 EMA21=0.601992 EMA55=0.584342 ADX=25.6 | 1h trend=1.00:price=0.6172 EMA21=0.616511 EMA55=0.607641 ADX=27.0 | 30m structure=0.50:HH=False, HL=True | key level=0.65:support=0.6138, distance=0.776% | momentum=0.55:RSI=51.8, MACD_hist=-0.000166367, ADX=14.7 | volume=0.20:volume ratio=0.12x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.0046734 (0.76%) | multi-timeframe=0.89:weighted alignment=0.89"
FIL-USDT,LONG,MEDIUM,0.80210000,0.79042693,0.82661344,2026-09-07 00:10:54,1788727256,OPEN,1788759120,,,,,10.00,10.00,100.00,,33189,,"4h trend=1.00:price=0.7964 EMA21=0.781654 EMA55=0.757359 ADX=34.1 | 1h trend=1.00:price=0.7964 EMA21=0.794966 EMA55=0.787401 ADX=27.0 | 30m structure=0.50:HH=False, HL=True | key level=0.25:support=0.7912, distance=1.359% | momentum=1.00:RSI=58.7, MACD_hist=0.00100889, ADX=19.8 | volume=1.00:volume ratio=1.52x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00515377 (0.64%) | multi-timeframe=0.93:weighted alignment=0.93"
TRX-USDT,LONG,HIGH,0.33510000,0.33421861,0.33686279,2026-09-07 03:35:50,1788739552,TP_HIT,1788739492,2026-09-07 08:20:00,0.33669436,0.2000,0.2758,10.00,10.00,100.00,2.7579,33192,33200,"4h trend=0.50:price=0.3351 EMA21=0.332759 EMA55=0.332865 ADX=26.3 | 1h trend=1.00:price=0.3351 EMA21=0.334954 EMA55=0.33354 ADX=34.1 | 30m structure=0.50:HH=False, HL=True | key level=1.00:support=0.3353, distance=0.060% | momentum=0.50:RSI=47.5, MACD_hist=-8.69855e-05, ADX=31.7 | volume=0.20:volume ratio=0.63x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000463892 (0.14%) | multi-timeframe=0.64:weighted alignment=0.64"
AVAX-USDT,LONG,MEDIUM,7.90700000,7.71479761,8.31062503,2026-09-07 03:35:53,1788739556,OPEN,1788759120,,,,,10.00,10.00,100.00,,33193,,"4h trend=1.00:price=7.907 EMA21=7.55786 EMA55=7.4248 ADX=24.7 | 1h trend=1.00:price=7.907 EMA21=7.6984 EMA55=7.60066 ADX=30.3 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=7.723, distance=2.327% | momentum=0.60:RSI=74.4, MACD_hist=0.0213402, ADX=29.9 | volume=0.50:volume ratio=0.92x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0546826 (0.69%) | multi-timeframe=1.00:weighted alignment=1.00"
ETH-USDT,LONG,LOW,2512.63000000,2497.26658738,2549.50219028,2026-09-07 09:03:15,1788759197,OPEN,1788759137,,,,,10.00,10.00,100.00,,33201,,"4h trend=1.00:price=2497.61 EMA21=2479.97 EMA55=2455.75 ADX=16.7 | 1h trend=0.65:price=2498.11 EMA21=2499.18 EMA55=2487.55 ADX=21.3 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=2498.95, distance=0.544% | momentum=0.55:RSI=58.3, MACD_hist=-0.861864, ADX=19.5 | volume=1.00:volume ratio=1.76x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=11.2228 (0.45%) | multi-timeframe=0.87:weighted alignment=0.87"
DOT-USDT,LONG,MEDIUM,0.98970000,0.96582384,1.03983994,2026-09-07 09:03:18,1788759201,OPEN,1788759141,,,,,10.00,10.00,100.00,,33202,,"4h trend=1.00:price=0.9712 EMA21=0.924715 EMA55=0.892957 ADX=39.1 | 1h trend=1.00:price=0.9806 EMA21=0.969451 EMA55=0.941035 ADX=52.2 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.9677, distance=2.223% | momentum=0.70:RSI=56.2, MACD_hist=-0.00167582, ADX=29.3 | volume=0.20:volume ratio=0.75x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0125078 (1.26%) | multi-timeframe=0.96:weighted alignment=0.96"
TRX-USDT,LONG,MEDIUM,0.33720000,0.33492389,0.34197984,2026-09-07 09:03:21,1788759204,OPEN,1788759144,,,,,10.00,10.00,100.00,,33203,,"4h trend=1.00:price=0.3357 EMA21=0.333026 EMA55=0.332966 ADX=27.1 | 1h trend=1.00:price=0.3368 EMA21=0.335236 EMA55=0.33389 ADX=31.2 | 30m structure=0.50:HH=False, HL=False | key level=0.65:support=0.335, distance=0.652% | momentum=0.60:RSI=74.3, MACD_hist=0.000150416, ADX=26.3 | volume=0.20:volume ratio=0.75x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000507419 (0.15%) | multi-timeframe=1.00:weighted alignment=1.00"
XLM-USDT,LONG,MEDIUM,0.19300000,0.18612657,0.20743420,2026-09-07 09:03:25,1788759208,OPEN,1788759148,,,,,10.00,10.00,100.00,,33204,,"4h trend=1.00:price=0.1872 EMA21=0.183608 EMA55=0.181764 ADX=24.6 | 1h trend=1.00:price=0.191 EMA21=0.186454 EMA55=0.184784 ADX=27.6 | 30m structure=0.50:HH=False, HL=True | key level=0.25:support=0.1864, distance=3.420% | momentum=0.60:RSI=72.1, MACD_hist=0.00059378, ADX=26.9 | volume=1.00:volume ratio=2.52x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00182286 (0.94%) | multi-timeframe=1.00:weighted alignment=1.00"
XAUT-USDT,SHORT,LOW,4406.64000000,4414.33153175,4388.18032379,2026-09-07 09:03:30,1788759212,OPEN,1788759152,,,,,10.00,10.00,100.00,,33205,,"4h trend=1.00:price=4399.42 EMA21=4422.59 EMA55=4439.38 ADX=28.5 | 1h trend=1.00:price=4394.3 EMA21=4413.37 EMA55=4420.22 ADX=32.6 | 30m structure=1.00:LH=True, LL=True | key level=1.00:resistance=4413.3, distance=0.151% | momentum=1.00:RSI=46.7, MACD_hist=-0.850706, ADX=33.3 | volume=0.50:volume ratio=1.05x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=6.87688 (0.16%) | multi-timeframe=0.89:weighted alignment=0.89"
