symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
ETH-USDT,LONG,MEDIUM,2486.54000000,2472.61678940,2515.77874225,2026-09-08 02:25:50,1788821751,STOP_HIT,1788845400,2026-09-08 09:30:00,2471.38048101,0.2000,-0.8097,10.00,10.00,100.00,-8.0966,33238,33252,"4h trend=0.85:price=2496.26 EMA21=2482.01 EMA55=2459.9 ADX=13.7 | 1h trend=0.65:price=2491.15 EMA21=2493.08 EMA55=2489.49 ADX=11.4 | 30m structure=0.50:HH=False, HL=True | key level=1.00:support=2487.17, distance=0.025% | momentum=0.80:RSI=46.3, MACD_hist=0.521151, ADX=10.0 | volume=0.80:volume ratio=1.46x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=8.70201 (0.35%) | multi-timeframe=0.43:weighted alignment=0.43"
LTC-USDT,LONG,HIGH,55.59000000,54.84348886,57.08302229,2026-09-08 02:25:54,1788821755,STOP_HIT,1788827520,2026-09-08 07:32:00,54.81606712,0.2000,-1.5922,10.00,10.00,100.00,-15.9222,33239,33247,"4h trend=1.00:price=55.24 EMA21=53.7882 EMA55=51.9814 ADX=41.5 | 1h trend=1.00:price=55.61 EMA21=55.4502 EMA55=54.6343 ADX=28.5 | 30m structure=0.50:HH=False, HL=False | key level=0.25:support=54.92, distance=1.205% | momentum=0.55:RSI=50.4, MACD_hist=-0.0490651, ADX=17.2 | volume=0.20:volume ratio=0.77x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.510074 (0.92%) | multi-timeframe=0.78:weighted alignment=0.78"
XRP-USDT,SHORT,MEDIUM,1.39353000,1.40396044,1.37162608,2026-09-08 04:03:22,1788827603,STOP_HIT,1788827543,2026-09-08 04:41:00,1.40466242,0.2000,-0.9989,10.00,10.00,100.00,-9.9886,33241,33248,"4h trend=0.50:price=1.39663 EMA21=1.40482 EMA55=1.39687 ADX=13.7 | 1h trend=1.00:price=1.39663 EMA21=1.40033 EMA55=1.40593 ADX=20.7 | 30m structure=0.50:LH=False, LL=True | key level=0.65:resistance=1.40299, distance=0.679% | momentum=0.55:RSI=45.1, MACD_hist=0.000108989, ADX=19.7 | volume=0.50:volume ratio=0.94x | candlestick/pattern=1.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.00646958 (0.46%) | multi-timeframe=0.84:weighted alignment=0.84"
POL-USDT,SHORT,MEDIUM,0.09460000,0.09648137,0.09064912,2026-09-08 04:03:24,1788827607,STOP_HIT,1788845400,2026-09-08 11:10:00,0.09652961,0.2000,-2.2398,10.00,10.00,100.00,-22.3976,33242,33253,"4h trend=1.00:price=0.0951 EMA21=0.0961757 EMA55=0.0966373 ADX=13.1 | 1h trend=1.00:price=0.0951 EMA21=0.0962619 EMA55=0.096412 ADX=12.9 | 30m structure=0.50:LH=False, LL=True | key level=0.25:resistance=0.0964, distance=1.903% | momentum=1.00:RSI=33.6, MACD_hist=-6.63054e-05, ADX=26.9 | volume=0.20:volume ratio=0.17x | candlestick/pattern=1.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.000542488 (0.57%) | multi-timeframe=1.00:weighted alignment=1.00"
XAUT-USDT,LONG,HIGH,4418.64000000,4404.21038437,4447.49923126,2026-09-08 04:03:28,1788827611,STOP_HIT,1788845400,2026-09-08 09:49:00,4402.00827918,0.2000,-0.5764,10.00,10.00,100.00,-5.7640,33243,33254,"4h trend=0.35:price=4420.31 EMA21=4416.32 EMA55=4433.71 ADX=27.8 | 1h trend=0.50:price=4420.31 EMA21=4407.68 EMA55=4412.44 ADX=15.8 | 30m structure=1.00:HH=True, HL=True | key level=1.00:support=4405.09, distance=0.307% | momentum=1.00:RSI=61.5, MACD_hist=1.00107, ADX=17.8 | volume=0.20:volume ratio=0.24x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=5.8641 (0.13%) | multi-timeframe=0.67:weighted alignment=0.67"
XRP-USDT,SHORT,HIGH,1.39413000,1.40764079,1.36710843,2026-09-08 09:01:24,1788845485,STOP_HIT,1788862920,2026-09-08 17:26:00,1.40834461,0.2000,-1.2196,10.00,10.00,100.00,-12.1960,33249,33263,"4h trend=0.50:price=1.39465 EMA21=1.4039 EMA55=1.39679 ADX=13.8 | 1h trend=1.00:price=1.39117 EMA21=1.39873 EMA55=1.40436 ADX=22.6 | 30m structure=0.50:LH=False, LL=True | key level=0.25:resistance=1.40667, distance=0.899% | momentum=1.00:RSI=46.9, MACD_hist=-0.000285169, ADX=17.1 | volume=1.00:volume ratio=1.82x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00647191 (0.46%) | multi-timeframe=0.80:weighted alignment=0.80"
TRX-USDT,LONG,LOW,0.33640000,0.33462574,0.34065822,2026-09-08 09:01:27,1788845488,OPEN,1788902220,,,,,10.00,10.00,100.00,,33250,,"4h trend=1.00:price=0.3352 EMA21=0.333924 EMA55=0.333391 ADX=27.2 | 1h trend=1.00:price=0.3356 EMA21=0.335017 EMA55=0.334625 ADX=18.5 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=0.3347, distance=0.505% | momentum=0.45:RSI=69.0, MACD_hist=0.000197283, ADX=23.0 | volume=0.80:volume ratio=1.35x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.000495068 (0.15%) | multi-timeframe=0.89:weighted alignment=0.89"
BTC-USDT,SHORT,MEDIUM,78747.20000000,79096.21940583,78014.25924775,2026-09-08 13:53:32,1788863014,TP_HIT,1788862954,2026-09-08 17:07:00,78053.26637737,0.2000,0.6812,10.00,10.00,100.00,6.8122,33255,33264,"4h trend=0.50:price=78467.4 EMA21=79366.7 EMA55=78917.3 ADX=15.1 | 1h trend=1.00:price=78747.2 EMA21=78945.9 EMA55=79295.4 ADX=33.4 | 30m structure=1.00:LH=True, LL=True | key level=1.00:resistance=78589.6, distance=0.200% | momentum=0.70:RSI=48.3, MACD_hist=3.54187, ADX=37.4 | volume=0.50:volume ratio=1.01x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=218.137 (0.28%) | multi-timeframe=0.64:weighted alignment=0.64"
ETH-USDT,SHORT,HIGH,2491.85000000,2510.08375494,2455.38249012,2026-09-08 13:53:35,1788863018,TP_HIT,1788862958,2026-09-08 17:06:00,2456.61018137,0.2000,1.2142,10.00,10.00,100.00,12.1420,33256,33265,"4h trend=0.50:price=2479.48 EMA21=2482.75 EMA55=2462.51 ADX=11.7 | 1h trend=0.65:price=2491.85 EMA21=2486.38 EMA55=2487.55 ADX=12.3 | 30m structure=1.00:LH=True, LL=True | key level=1.00:resistance=2484.71, distance=0.287% | momentum=0.15:RSI=56.1, MACD_hist=1.02672, ADX=15.4 | volume=0.80:volume ratio=1.45x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=9.59671 (0.39%) | multi-timeframe=0.50:weighted alignment=0.50"
SOL-USDT,SHORT,MEDIUM,103.68000000,104.45537049,102.05172198,2026-09-08 13:53:38,1788863021,TP_HIT,1788862961,2026-09-08 17:09:00,102.10274784,0.2000,1.3213,10.00,10.00,100.00,13.2127,33257,33266,"4h trend=0.50:price=102.96 EMA21=103.93 EMA55=102.721 ADX=18.2 | 1h trend=1.00:price=103.68 EMA21=103.726 EMA55=104.146 ADX=23.9 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=103.52, distance=0.154% | momentum=0.35:RSI=53.6, MACD_hist=0.0776659, ADX=25.3 | volume=1.00:volume ratio=2.04x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.484607 (0.47%) | multi-timeframe=0.59:weighted alignment=0.59"
LTC-USDT,LONG,MEDIUM,55.71000000,54.47987387,58.29326486,2026-09-08 13:53:43,1788863025,TP_HIT,1788862965,2026-09-08 16:41:00,58.26411823,0.2000,4.3847,10.00,10.00,100.00,43.8467,33258,33267,"4h trend=1.00:price=55.17 EMA21=54.1282 EMA55=52.3096 ADX=46.5 | 1h trend=1.00:price=55.71 EMA21=55.3556 EMA55=54.8734 ADX=21.8 | 30m structure=0.00:HH=False, HL=False | key level=0.25:support=54.54, distance=2.100% | momentum=1.00:RSI=57.4, MACD_hist=0.0626679, ADX=11.2 | volume=0.80:volume ratio=1.32x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.400841 (0.72%) | multi-timeframe=0.93:weighted alignment=0.93"
