symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
SOL-USDT,SHORT,HIGH,103.10000000,104.58478678,100.13042645,2026-09-09 00:48:12,1788902292,STOP_HIT,1788913320,2026-09-09 08:46:00,104.63707917,0.2000,-1.6909,10.00,10.00,100.00,-16.9086,33278,33281,"4h trend=0.50:price=103.23 EMA21=103.817 EMA55=102.798 ADX=15.9 | 1h trend=1.00:price=103.1 EMA21=103.519 EMA55=103.899 ADX=19.0 | 30m structure=0.50:LH=True, LL=False | key level=0.25:resistance=104.49, distance=1.348% | momentum=1.00:RSI=45.7, MACD_hist=-0.0343364, ADX=16.0 | volume=0.20:volume ratio=0.36x | candlestick/pattern=1.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.631912 (0.61%) | multi-timeframe=0.72:weighted alignment=0.72"
POL-USDT,SHORT,LOW,0.09560000,0.09668432,0.09299763,2026-09-09 03:53:30,1788913411,STOP_HIT,1788932220,2026-09-09 09:26:00,0.09673266,0.2000,-1.3848,10.00,10.00,100.00,-13.8479,33279,33285,"4h trend=1.00:price=0.0956 EMA21=0.0962164 EMA55=0.0965652 ADX=10.1 | 1h trend=1.00:price=0.0956 EMA21=0.0962666 EMA55=0.0963188 ADX=10.4 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=0.0966, distance=1.046% | momentum=1.00:RSI=40.7, MACD_hist=-0.000159076, ADX=15.1 | volume=0.20:volume ratio=0.87x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.000562145 (0.59%) | multi-timeframe=0.91:weighted alignment=0.91"
ETH-USDT,LONG,LOW,2502.74000000,2485.36530459,2544.43926898,2026-09-09 09:08:23,1788932303,STOP_HIT,1788949860,2026-09-09 14:21:00,2484.12262194,0.2000,-0.9439,10.00,10.00,100.00,-9.4388,33282,33289,"4h trend=0.85:price=2488.97 EMA21=2484.08 EMA55=2466.43 ADX=10.8 | 1h trend=1.00:price=2509.1 EMA21=2489.71 EMA55=2487.91 ADX=9.7 | 30m structure=0.50:HH=False, HL=True | key level=0.65:support=2486.86, distance=0.635% | momentum=1.00:RSI=58.5, MACD_hist=1.29171, ADX=22.2 | volume=0.80:volume ratio=1.47x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=9.96464 (0.40%) | multi-timeframe=0.91:weighted alignment=0.91"
SOL-USDT,LONG,HIGH,104.36000000,102.90300976,107.27398047,2026-09-09 09:08:25,1788932307,STOP_HIT,1788965760,2026-09-09 18:37:00,102.85155826,0.2000,-1.6454,10.00,10.00,100.00,-16.4542,33283,33297,"4h trend=0.50:price=103.31 EMA21=103.734 EMA55=102.837 ADX=14.4 | 1h trend=0.50:price=104.41 EMA21=103.58 EMA55=103.823 ADX=13.8 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=102.98, distance=1.322% | momentum=1.00:RSI=61.1, MACD_hist=0.0925176, ADX=21.2 | volume=1.00:volume ratio=1.89x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.513268 (0.49%) | multi-timeframe=0.72:weighted alignment=0.72"
BTC-USDT,LONG,MEDIUM,79091.30000000,78816.33473455,79668.72705745,2026-09-09 14:02:47,1788949969,STOP_HIT,1788949909,2026-09-09 14:32:00,78776.92656718,0.2000,-0.5975,10.00,10.00,100.00,-5.9748,33286,33290,"4h trend=0.85:price=79267.6 EMA21=79084.3 EMA55=78874.7 ADX=19.7 | 1h trend=0.50:price=78960.5 EMA21=78899 EMA55=78997.8 ADX=24.4 | 30m structure=1.00:HH=True, HL=True | key level=1.00:support=78853.4, distance=0.301% | momentum=0.70:RSI=52.0, MACD_hist=-2.38042, ADX=27.0 | volume=0.20:volume ratio=0.90x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=247.102 (0.31%) | multi-timeframe=0.68:weighted alignment=0.68"
POL-USDT,LONG,MEDIUM,0.09820000,0.09738303,0.09991563,2026-09-09 14:02:50,1788949973,STOP_HIT,1788949913,2026-09-09 14:29:00,0.09733434,0.2000,-1.0815,10.00,10.00,100.00,-10.8153,33287,33291,"4h trend=0.50:price=0.0992 EMA21=0.0964119 EMA55=0.0966157 ADX=10.6 | 1h trend=1.00:price=0.0976 EMA21=0.0967889 EMA55=0.0964955 ADX=18.8 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=0.0975, distance=0.713% | momentum=1.00:RSI=59.7, MACD_hist=0.000173932, ADX=31.5 | volume=0.20:volume ratio=0.22x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.000779771 (0.79%) | multi-timeframe=0.83:weighted alignment=0.83"
ATOM-USDT,LONG,MEDIUM,1.96390000,1.82661666,2.25219502,2026-09-09 14:02:55,1788949976,OPEN,1788987720,,,,,10.00,10.00,100.00,,33288,,"4h trend=1.00:price=1.888 EMA21=1.6904 EMA55=1.60019 ADX=44.3 | 1h trend=1.00:price=2.0041 EMA21=1.83665 EMA55=1.7436 ADX=40.8 | 30m structure=0.50:HH=False, HL=True | key level=0.25:support=1.8315, distance=6.742% | momentum=0.60:RSI=69.2, MACD_hist=0.0119443, ADX=44.4 | volume=1.00:volume ratio=4.02x | candlestick/pattern=0.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.0325556 (1.66%) | multi-timeframe=0.97:weighted alignment=0.97"
BTC-USDT,LONG,MEDIUM,79256.40000000,78716.80630083,80389.54676827,2026-09-09 18:27:39,1788965862,STOP_HIT,1788965802,2026-09-09 18:31:00,78677.44789768,0.2000,-0.9305,10.00,10.00,100.00,-9.3048,33292,33298,"4h trend=0.85:price=79337.1 EMA21=79107.3 EMA55=78891.2 ADX=18.3 | 1h trend=0.50:price=79136.5 EMA21=79012.3 EMA55=79032 ADX=24.0 | 30m structure=0.50:HH=True, HL=False | key level=0.65:support=78758, distance=0.629% | momentum=0.55:RSI=52.6, MACD_hist=-14.5188, ADX=20.6 | volume=1.00:volume ratio=2.49x | candlestick/pattern=1.00:pattern=HAMMER | volatility=1.00:ATR=274.625 (0.35%) | multi-timeframe=0.65:weighted alignment=0.65"
ETH-USDT,LONG,MEDIUM,2512.36000000,2480.76590911,2578.70759087,2026-09-09 18:27:43,1788965866,STOP_HIT,1788965806,2026-09-09 18:42:00,2479.52552616,0.2000,-1.5069,10.00,10.00,100.00,-15.0692,33293,33299,"4h trend=1.00:price=2501.07 EMA21=2487.79 EMA55=2469.18 ADX=10.3 | 1h trend=1.00:price=2502.25 EMA21=2496.98 EMA55=2491.93 ADX=15.7 | 30m structure=0.50:HH=True, HL=False | key level=0.25:support=2482.5, distance=1.189% | momentum=1.00:RSI=56.5, MACD_hist=0.364336, ADX=17.2 | volume=0.80:volume ratio=1.30x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=11.5606 (0.46%) | multi-timeframe=0.88:weighted alignment=0.88"
BTC-USDT,SHORT,MEDIUM,78783.60000000,79719.67032118,76817.85232552,2026-09-09 21:49:13,1788977956,OPEN,1788987720,,,,,10.00,10.00,100.00,,33300,,"4h trend=0.50:price=78600.2 EMA21=79061.2 EMA55=78880.8 ADX=18.2 | 1h trend=1.00:price=78783.6 EMA21=78938.6 EMA55=78998.2 ADX=22.2 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=79670, distance=1.125% | momentum=1.00:RSI=46.0, MACD_hist=-68.0389, ADX=20.6 | volume=0.50:volume ratio=1.14x | candlestick/pattern=1.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=331.135 (0.42%) | multi-timeframe=0.73:weighted alignment=0.73"
SOL-USDT,SHORT,HIGH,103.56000000,104.93472347,100.81055307,2026-09-09 21:49:18,1788977959,OPEN,1788987720,,,,,10.00,10.00,100.00,,33301,,"4h trend=0.50:price=103.07 EMA21=103.779 EMA55=102.951 ADX=13.5 | 1h trend=1.00:price=103.56 EMA21=103.764 EMA55=103.859 ADX=13.8 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=104.84, distance=1.236% | momentum=1.00:RSI=47.6, MACD_hist=-0.0730165, ADX=20.8 | volume=0.20:volume ratio=0.33x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.63149 (0.61%) | multi-timeframe=0.83:weighted alignment=0.83"
POL-USDT,SHORT,LOW,0.09660000,0.09790142,0.09347660,2026-09-09 21:49:20,1788977963,OPEN,1788987720,,,,,10.00,10.00,100.00,,33302,,"4h trend=0.85:price=0.0964 EMA21=0.0966164 EMA55=0.0966867 ADX=11.0 | 1h trend=0.50:price=0.0966 EMA21=0.0968349 EMA55=0.0966123 ADX=18.0 | 30m structure=1.00:LH=True, LL=True | key level=1.00:resistance=0.0965, distance=0.104% | momentum=1.00:RSI=48.6, MACD_hist=-0.000162228, ADX=21.8 | volume=0.80:volume ratio=1.22x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000929584 (0.96%) | multi-timeframe=0.61:weighted alignment=0.61"
