symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
XRP-USDT,SHORT,MEDIUM,1.35261000,1.37154290,1.31285091,2026-09-12 02:12:19,1789166540,STOP_HIT,1789205280,2026-09-12 13:53:00,1.37222867,0.2000,-1.6504,10.00,10.00,100.00,-16.5043,33409,33422,"4h trend=0.85:price=1.36171 EMA21=1.3758 EMA55=1.38801 ADX=20.0 | 1h trend=0.85:price=1.35212 EMA21=1.36172 EMA55=1.37092 ADX=32.5 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=1.36952, distance=1.250% | momentum=1.00:RSI=44.7, MACD_hist=-0.00263134, ADX=19.9 | volume=0.20:volume ratio=0.28x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.013486 (1.00%) | multi-timeframe=0.92:weighted alignment=0.92"
AVAX-USDT,SHORT,MEDIUM,7.43200000,7.50695305,7.27459860,2026-09-12 02:12:24,1789166544,OPEN,1789230180,,,,,10.00,10.00,100.00,,33410,,"4h trend=0.50:price=7.471 EMA21=7.65933 EMA55=7.64181 ADX=26.6 | 1h trend=1.00:price=7.428 EMA21=7.52492 EMA55=7.6255 ADX=30.7 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=7.496, distance=0.861% | momentum=1.00:RSI=42.7, MACD_hist=-0.0141024, ADX=24.1 | volume=0.50:volume ratio=1.16x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0730203 (0.98%) | multi-timeframe=0.84:weighted alignment=0.84"
XLM-USDT,SHORT,MEDIUM,0.17800000,0.18005502,0.17368446,2026-09-12 02:12:25,1789166548,STOP_HIT,1789172640,2026-09-12 04:39:00,0.18014505,0.2000,-1.4051,10.00,10.00,100.00,-14.0508,33411,33416,"4h trend=0.85:price=0.1788 EMA21=0.180793 EMA55=0.182396 ADX=26.3 | 1h trend=0.85:price=0.1776 EMA21=0.178451 EMA55=0.179806 ADX=30.2 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=0.1798, distance=1.011% | momentum=1.00:RSI=47.2, MACD_hist=-0.000377639, ADX=18.9 | volume=0.20:volume ratio=0.62x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00170014 (0.96%) | multi-timeframe=0.74:weighted alignment=0.74"
BNB-USDT,LONG,HIGH,726.76200000,721.16769250,737.95061500,2026-09-12 03:55:10,1789172711,TP_HIT,1789205280,2026-09-12 13:51:00,737.58163969,0.2000,1.2887,10.00,10.00,100.00,12.8875,33413,33423,"4h trend=1.00:price=726.762 EMA21=726.392 EMA55=726.238 ADX=26.3 | 1h trend=0.50:price=726.762 EMA21=722.801 EMA55=724.154 ADX=28.7 | 30m structure=0.50:HH=False, HL=True | key level=0.65:support=721.772, distance=0.687% | momentum=0.70:RSI=55.5, MACD_hist=-0.588985, ADX=29.4 | volume=0.20:volume ratio=0.16x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=4.02872 (0.55%) | multi-timeframe=0.85:weighted alignment=0.85"
TRX-USDT,LONG,LOW,0.33870000,0.33780976,0.34083658,2026-09-12 03:55:14,1789172715,TP_HIT,1789172655,2026-09-12 08:35:00,0.34066616,0.2000,0.3805,10.00,10.00,100.00,3.8050,33414,33417,"4h trend=1.00:price=0.3387 EMA21=0.338032 EMA55=0.336422 ADX=36.9 | 1h trend=0.35:price=0.3387 EMA21=0.338013 EMA55=0.33844 ADX=25.2 | 30m structure=1.00:HH=True, HL=True | key level=1.00:support=0.3379, distance=0.236% | momentum=1.00:RSI=60.9, MACD_hist=0.000264784, ADX=22.8 | volume=0.20:volume ratio=0.22x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.000601609 (0.18%) | multi-timeframe=0.73:weighted alignment=0.73"
POL-USDT,LONG,MEDIUM,0.09610000,0.09500994,0.09838913,2026-09-12 08:48:38,1789190320,OPEN,1789230180,,,,,10.00,10.00,100.00,,33418,,"4h trend=0.50:price=0.0966 EMA21=0.0953848 EMA55=0.0959531 ADX=14.6 | 1h trend=1.00:price=0.0961 EMA21=0.0958895 EMA55=0.0953755 ADX=30.7 | 30m structure=0.50:HH=False, HL=True | key level=1.00:support=0.0964, distance=0.312% | momentum=0.35:RSI=47.9, MACD_hist=-0.000173634, ADX=14.7 | volume=1.00:volume ratio=3.47x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.000681289 (0.71%) | multi-timeframe=0.59:weighted alignment=0.59"
TRX-USDT,LONG,MEDIUM,0.34050000,0.33781917,0.34612974,2026-09-12 08:48:41,1789190324,OPEN,1789230180,,,,,10.00,10.00,100.00,,33419,,"4h trend=1.00:price=0.3396 EMA21=0.338174 EMA55=0.336535 ADX=35.8 | 1h trend=0.50:price=0.3405 EMA21=0.33861 EMA55=0.338624 ADX=22.0 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=0.3379, distance=0.764% | momentum=0.60:RSI=73.7, MACD_hist=0.00015821, ADX=35.1 | volume=0.20:volume ratio=0.62x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=0.000538844 (0.16%) | multi-timeframe=0.87:weighted alignment=0.87"
NEAR-USDT,SHORT,HIGH,2.34280000,2.39189960,2.24460079,2026-09-12 08:48:46,1789190328,STOP_HIT,1789205280,2026-09-12 13:58:00,2.39309555,0.2000,-2.3468,10.00,10.00,100.00,-23.4681,33420,33424,"4h trend=0.35:price=2.3843 EMA21=2.43256 EMA55=2.30614 ADX=36.9 | 1h trend=1.00:price=2.3428 EMA21=2.44051 EMA55=2.45554 ADX=18.2 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=2.3862, distance=1.852% | momentum=1.00:RSI=34.3, MACD_hist=-0.000585112, ADX=32.4 | volume=0.50:volume ratio=0.94x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0379974 (1.62%) | multi-timeframe=0.80:weighted alignment=0.80"
SOL-USDT,LONG,MEDIUM,101.82000000,101.35634583,102.79367375,2026-09-12 12:59:23,1789205364,OPEN,1789230180,,,,,10.00,10.00,100.00,,33421,,"4h trend=0.50:price=101.67 EMA21=101.592 EMA55=102.049 ADX=24.8 | 1h trend=1.00:price=101.82 EMA21=101.632 EMA55=101.502 ADX=16.4 | 30m structure=0.50:HH=True, HL=False | key level=1.00:support=101.42, distance=0.393% | momentum=0.55:RSI=51.3, MACD_hist=-0.0312648, ADX=7.8 | volume=0.80:volume ratio=1.32x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.424361 (0.42%) | multi-timeframe=0.84:weighted alignment=0.84"
BNB-USDT,LONG,LOW,736.25700000,732.26603579,745.83531409,2026-09-12 16:32:20,1789218142,OPEN,1789230180,,,,,10.00,10.00,100.00,,33425,,"4h trend=1.00:price=736.76 EMA21=728.467 EMA55=727.109 ADX=25.3 | 1h trend=1.00:price=736.257 EMA21=730.992 EMA55=727.797 ADX=31.1 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=732.61, distance=0.495% | momentum=0.70:RSI=62.4, MACD_hist=-0.111962, ADX=40.2 | volume=0.20:volume ratio=0.65x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=2.29309 (0.31%) | multi-timeframe=0.97:weighted alignment=0.97"
XLM-USDT,LONG,MEDIUM,0.18150000,0.18007281,0.18449710,2026-09-12 16:32:24,1789218146,OPEN,1789230000,,,,,10.00,10.00,100.00,,33426,,"4h trend=0.50:price=0.1822 EMA21=0.180759 EMA55=0.182153 ADX=23.1 | 1h trend=1.00:price=0.1815 EMA21=0.180235 EMA55=0.180119 ADX=24.8 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=0.1802, distance=0.716% | momentum=1.00:RSI=57.3, MACD_hist=4.64891e-05, ADX=26.8 | volume=0.20:volume ratio=0.40x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000847924 (0.47%) | multi-timeframe=0.80:weighted alignment=0.80"
