symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
SOL-USDT,SHORT,MEDIUM,101.36000000,102.20103862,99.59381890,2026-09-13 00:38:26,1789247306,STOP_HIT,1789257780,2026-09-13 05:16:00,102.25213914,0.2000,-1.0802,10.00,10.00,100.00,-10.8017,33435,33440,"4h trend=0.85:price=101.28 EMA21=101.645 EMA55=102.026 ADX=24.9 | 1h trend=0.50:price=101.36 EMA21=101.759 EMA55=101.632 ADX=13.0 | 30m structure=1.00:LH=True, LL=True | key level=0.65:resistance=102.16, distance=0.789% | momentum=1.00:RSI=35.7, MACD_hist=-0.0868098, ADX=15.9 | volume=0.20:volume ratio=0.76x | candlestick/pattern=1.00:pattern=SHOOTING_STAR | volatility=1.00:ATR=0.273591 (0.27%) | multi-timeframe=0.69:weighted alignment=0.69"
XRP-USDT,SHORT,MEDIUM,1.36641000,1.36734620,1.36444398,2026-09-13 03:34:54,1789257895,STOP_HIT,1789257835,2026-09-13 03:56:00,1.36802987,0.2000,-0.3185,10.00,10.00,100.00,-3.1855,33437,33441,"4h trend=0.85:price=1.36641 EMA21=1.37133 EMA55=1.38316 ADX=19.1 | 1h trend=0.50:price=1.36641 EMA21=1.36555 EMA55=1.36768 ADX=13.1 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=1.3667, distance=0.021% | momentum=0.80:RSI=51.3, MACD_hist=-0.000162418, ADX=17.6 | volume=1.00:volume ratio=2.73x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.00430801 (0.32%) | multi-timeframe=0.46:weighted alignment=0.46"
XLM-USDT,SHORT,HIGH,0.18010000,0.18068868,0.17892264,2026-09-13 03:34:58,1789257899,STOP_HIT,1789257839,2026-09-13 06:20:00,0.18077902,0.2000,-0.5770,10.00,10.00,100.00,-5.7703,33438,33442,"4h trend=0.85:price=0.1801 EMA21=0.180767 EMA55=0.182017 ADX=21.4 | 1h trend=0.35:price=0.1801 EMA21=0.180437 EMA55=0.1803 ADX=21.2 | 30m structure=0.50:LH=False, LL=True | key level=1.00:resistance=0.1806, distance=0.278% | momentum=1.00:RSI=44.3, MACD_hist=-0.000119121, ADX=15.3 | volume=0.20:volume ratio=0.48x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000591208 (0.33%) | multi-timeframe=0.61:weighted alignment=0.61"
NEAR-USDT,SHORT,HIGH,2.37090000,2.40695629,2.29878741,2026-09-13 03:35:00,1789257902,TP_HIT,1789277460,2026-09-13 11:02:00,2.29993680,0.2000,2.7931,10.00,10.00,100.00,27.9309,33439,33444,"4h trend=0.35:price=2.3709 EMA21=2.40897 EMA55=2.31685 ADX=31.7 | 1h trend=1.00:price=2.3709 EMA21=2.37863 EMA55=2.41175 ADX=13.0 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=2.3637, distance=0.304% | momentum=0.35:RSI=50.7, MACD_hist=0.00139407, ADX=15.9 | volume=0.20:volume ratio=0.53x | candlestick/pattern=1.00:pattern=SHOOTING_STAR | volatility=1.00:ATR=0.018977 (0.80%) | multi-timeframe=0.54:weighted alignment=0.54"
XRP-USDT,SHORT,MEDIUM,1.36637000,1.37068781,1.35730260,2026-09-13 09:02:48,1789277569,TP_HIT,1789277509,2026-09-13 11:25:00,1.35798125,0.2000,0.4139,10.00,10.00,100.00,4.1394,33443,33445,"4h trend=0.85:price=1.36337 EMA21=1.3706 EMA55=1.38245 ADX=19.3 | 1h trend=0.85:price=1.3641 EMA21=1.36575 EMA55=1.36744 ADX=17.3 | 30m structure=0.50:LH=False, LL=True | key level=1.00:resistance=1.37016, distance=0.277% | momentum=0.80:RSI=51.1, MACD_hist=-3.08261e-05, ADX=29.5 | volume=0.20:volume ratio=0.34x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00351873 (0.26%) | multi-timeframe=0.59:weighted alignment=0.59"
SOL-USDT,SHORT,MEDIUM,99.84000000,101.98217395,95.34143470,2026-09-13 14:23:26,1789296808,STOP_HIT,1789364160,2026-09-14 09:38:00,102.03316504,0.2000,-2.3967,10.00,10.00,100.00,-23.9668,33446,33471,"4h trend=0.85:price=100.72 EMA21=101.567 EMA55=101.956 ADX=23.8 | 1h trend=1.00:price=99.87 EMA21=101.339 EMA55=101.506 ADX=16.2 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=101.93, distance=2.093% | momentum=0.60:RSI=24.5, MACD_hist=-0.201199, ADX=32.4 | volume=0.50:volume ratio=0.94x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.347826 (0.35%) | multi-timeframe=0.95:weighted alignment=0.95"
XRP-USDT,SHORT,MEDIUM,1.34477000,1.36947304,1.29289362,2026-09-13 14:23:29,1789296811,STOP_HIT,1789345020,2026-09-14 06:24:00,1.37015778,0.2000,-2.0879,10.00,10.00,100.00,-20.8789,33447,33465,"4h trend=0.85:price=1.35746 EMA21=1.36941 EMA55=1.38156 ADX=19.1 | 1h trend=1.00:price=1.3451 EMA21=1.36159 EMA55=1.36545 ADX=17.6 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=1.36881, distance=1.788% | momentum=0.60:RSI=24.4, MACD_hist=-0.00222987, ADX=30.3 | volume=0.20:volume ratio=0.36x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00442024 (0.33%) | multi-timeframe=0.95:weighted alignment=0.95"
XLM-USDT,SHORT,MEDIUM,0.17840000,0.18109960,0.17273083,2026-09-13 14:23:33,1789296815,STOP_HIT,1789345020,2026-09-14 06:01:00,0.18119015,0.2000,-1.7640,10.00,10.00,100.00,-17.6399,33448,33466,"4h trend=0.85:price=0.1793 EMA21=0.180545 EMA55=0.18184 ADX=20.0 | 1h trend=1.00:price=0.1783 EMA21=0.179845 EMA55=0.180084 ADX=18.1 | 30m structure=0.50:LH=False, LL=True | key level=0.25:resistance=0.181, distance=1.457% | momentum=1.00:RSI=38.8, MACD_hist=-0.000193185, ADX=21.9 | volume=0.20:volume ratio=0.06x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000664032 (0.37%) | multi-timeframe=0.95:weighted alignment=0.95"
BNB-USDT,SHORT,MEDIUM,719.45000000,722.59167019,712.85249260,2026-09-13 18:15:28,1789310730,STOP_HIT,1789321680,2026-09-13 22:30:00,722.95296603,0.2000,-0.6869,10.00,10.00,100.00,-6.8689,33450,33456,"4h trend=0.50:price=716.291 EMA21=726.901 EMA55=726.773 ADX=19.6 | 1h trend=1.00:price=718.16 EMA21=722.775 EMA55=725.595 ADX=33.7 | 30m structure=1.00:LH=True, LL=True | key level=1.00:resistance=716.962, distance=0.346% | momentum=0.70:RSI=46.6, MACD_hist=0.344349, ADX=50.4 | volume=0.80:volume ratio=1.21x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=1.96354 (0.27%) | multi-timeframe=0.64:weighted alignment=0.64"
NEAR-USDT,SHORT,HIGH,2.31450000,2.32058688,2.30232624,2026-09-13 18:15:32,1789310736,TP_HIT,1789310676,2026-09-13 18:35:00,2.30347740,0.2000,0.2762,10.00,10.00,100.00,2.7624,33451,33453,"4h trend=0.35:price=2.3014 EMA21=2.38569 EMA55=2.31678 ADX=27.5 | 1h trend=1.00:price=2.3043 EMA21=2.33389 EMA55=2.37638 ADX=20.2 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=2.3177, distance=0.138% | momentum=0.70:RSI=47.3, MACD_hist=0.00217739, ADX=30.1 | volume=0.50:volume ratio=1.14x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0192459 (0.83%) | multi-timeframe=0.67:weighted alignment=0.67"
FIL-USDT,LONG,MEDIUM,0.91310000,0.80816543,1.13346260,2026-09-13 18:15:37,1789310740,OPEN,1789418940,,,,,10.00,10.00,100.00,,33452,,"4h trend=1.00:price=0.8197 EMA21=0.806561 EMA55=0.799368 ADX=20.4 | 1h trend=1.00:price=0.855 EMA21=0.815432 EMA55=0.808702 ADX=19.7 | 30m structure=0.50:HH=False, HL=True | key level=0.25:support=0.8099, distance=11.302% | momentum=0.60:RSI=90.6, MACD_hist=0.0081236, ADX=33.4 | volume=1.00:volume ratio=28.35x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0115638 (1.27%) | multi-timeframe=1.00:weighted alignment=1.00"
