symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
BNB-USDT,SHORT,MEDIUM,716.83800000,722.97919617,703.94148804,2026-09-14 02:00:48,1789338650,STOP_HIT,1789345020,2026-09-14 05:54:00,723.34068577,0.2000,-1.1071,10.00,10.00,100.00,-11.0713,33459,33467,"4h trend=1.00:price=720.879 EMA21=725.701 EMA55=726.295 ADX=18.6 | 1h trend=0.65:price=721.99 EMA21=721.875 EMA55=724.422 ADX=31.9 | 30m structure=0.50:LH=True, LL=False | key level=0.25:resistance=722.716, distance=0.820% | momentum=0.70:RSI=36.0, MACD_hist=0.110741, ADX=25.4 | volume=1.00:volume ratio=6.75x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=1.75464 (0.24%) | multi-timeframe=0.91:weighted alignment=0.91"
AVAX-USDT,SHORT,LOW,7.28900000,7.46052213,6.87734688,2026-09-14 03:48:11,1789345092,STOP_HIT,1789384980,2026-09-14 15:22:00,7.46425239,0.2000,-2.6043,10.00,10.00,100.00,-26.0434,33462,33477,"4h trend=1.00:price=7.289 EMA21=7.46343 EMA55=7.54789 ADX=16.7 | 1h trend=1.00:price=7.289 EMA21=7.3792 EMA55=7.42818 ADX=19.2 | 30m structure=0.50:LH=False, LL=True | key level=0.25:resistance=7.455, distance=2.277% | momentum=1.00:RSI=34.4, MACD_hist=-0.0160847, ADX=25.0 | volume=0.80:volume ratio=1.42x | candlestick/pattern=1.00:pattern=SHOOTING_STAR | volatility=1.00:ATR=0.0368142 (0.51%) | multi-timeframe=0.99:weighted alignment=0.99"
NEAR-USDT,SHORT,HIGH,2.29780000,2.35835753,2.17668494,2026-09-14 03:48:13,1789345095,STOP_HIT,1789345035,2026-09-14 05:55:00,2.35953671,0.2000,-2.8868,10.00,10.00,100.00,-28.8677,33463,33468,"4h trend=0.35:price=2.2978 EMA21=2.36555 EMA55=2.31552 ADX=24.4 | 1h trend=1.00:price=2.2978 EMA21=2.32831 EMA55=2.36071 ADX=17.5 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=2.3551, distance=2.494% | momentum=1.00:RSI=42.5, MACD_hist=-0.00365899, ADX=23.4 | volume=0.50:volume ratio=0.96x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0217169 (0.95%) | multi-timeframe=0.79:weighted alignment=0.79"
OP-USDT,SHORT,LOW,0.09480000,0.09910935,0.08445757,2026-09-14 03:48:16,1789345099,STOP_HIT,1789384920,2026-09-14 19:49:00,0.09915890,0.2000,-4.7980,10.00,10.00,100.00,-47.9800,33464,33478,"4h trend=1.00:price=0.0948 EMA21=0.0969796 EMA55=0.0989325 ADX=16.3 | 1h trend=1.00:price=0.0948 EMA21=0.0964301 EMA55=0.0965825 ADX=21.3 | 30m structure=0.50:LH=False, LL=True | key level=0.25:resistance=0.099, distance=4.430% | momentum=1.00:RSI=37.1, MACD_hist=-0.000417203, ADX=24.5 | volume=1.00:volume ratio=1.61x | candlestick/pattern=1.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.000728976 (0.77%) | multi-timeframe=0.89:weighted alignment=0.89"
ADA-USDT,LONG,HIGH,0.21080000,0.20865813,0.21508373,2026-09-14 14:54:50,1789385090,STOP_HIT,1789385030,2026-09-14 16:24:00,0.20855380,0.2000,-1.2656,10.00,10.00,100.00,-12.6556,33472,33479,"4h trend=0.35:price=0.2105 EMA21=0.208174 EMA55=0.210291 ADX=10.3 | 1h trend=1.00:price=0.2108 EMA21=0.20803 EMA55=0.207776 ADX=18.7 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.2089, distance=0.901% | momentum=1.00:RSI=63.2, MACD_hist=0.000281451, ADX=24.4 | volume=0.20:volume ratio=0.73x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00161245 (0.76%) | multi-timeframe=0.76:weighted alignment=0.76"
TRX-USDT,LONG,HIGH,0.34010000,0.33266090,0.35497820,2026-09-14 14:54:51,1789385094,OPEN,1789432980,,,,,10.00,10.00,100.00,,33473,,"4h trend=0.65:price=0.3394 EMA21=0.339417 EMA55=0.337829 ADX=36.6 | 1h trend=0.85:price=0.3401 EMA21=0.339839 EMA55=0.339834 ADX=30.6 | 30m structure=0.50:HH=True, HL=False | key level=0.25:support=0.3328, distance=2.146% | momentum=1.00:RSI=54.5, MACD_hist=0.000178897, ADX=35.0 | volume=1.00:volume ratio=2.44x | candlestick/pattern=0.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.000927338 (0.27%) | multi-timeframe=0.65:weighted alignment=0.65"
XLM-USDT,LONG,MEDIUM,0.18900000,0.18308193,0.20142794,2026-09-14 14:54:55,1789385097,OPEN,1789432980,,,,,10.00,10.00,100.00,,33474,,"4h trend=0.50:price=0.1849 EMA21=0.180473 EMA55=0.181511 ADX=15.2 | 1h trend=1.00:price=0.189 EMA21=0.182281 EMA55=0.180884 ADX=24.3 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.1833, distance=3.016% | momentum=0.60:RSI=78.7, MACD_hist=0.000470005, ADX=34.6 | volume=1.00:volume ratio=1.83x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00145377 (0.77%) | multi-timeframe=0.84:weighted alignment=0.84"
NEAR-USDT,LONG,MEDIUM,2.40830000,2.38855813,2.44975792,2026-09-14 14:54:58,1789385101,STOP_HIT,1789385041,2026-09-14 16:36:00,2.38736385,0.2000,-1.0693,10.00,10.00,100.00,-10.6933,33475,33480,"4h trend=1.00:price=2.421 EMA21=2.37169 EMA55=2.32147 ADX=24.8 | 1h trend=1.00:price=2.4083 EMA21=2.37368 EMA55=2.37129 ADX=17.9 | 30m structure=0.50:HH=False, HL=True | key level=0.65:support=2.3924, distance=0.660% | momentum=0.70:RSI=57.6, MACD_hist=-0.00180182, ADX=30.1 | volume=0.20:volume ratio=0.86x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.0256124 (1.06%) | multi-timeframe=0.92:weighted alignment=0.92"
XAUT-USDT,SHORT,MEDIUM,4303.07000000,4340.30705530,4224.87218387,2026-09-14 14:55:02,1789385105,OPEN,1789432800,,,,,10.00,10.00,100.00,,33476,,"4h trend=1.00:price=4311.23 EMA21=4347.75 EMA55=4374.67 ADX=13.8 | 1h trend=1.00:price=4303.07 EMA21=4329 EMA55=4341.42 ADX=26.6 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=4338.95, distance=0.834% | momentum=1.00:RSI=36.4, MACD_hist=-2.79225, ADX=41.6 | volume=0.20:volume ratio=0.63x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=9.04704 (0.21%) | multi-timeframe=0.97:weighted alignment=0.97"
NEAR-USDT,LONG,MEDIUM,2.46590000,2.37572636,2.65526465,2026-09-14 20:30:33,1789405233,OPEN,1789432980,,,,,10.00,10.00,100.00,,33481,,"4h trend=1.00:price=2.3975 EMA21=2.37795 EMA55=2.32754 ADX=25.5 | 1h trend=1.00:price=2.4659 EMA21=2.39268 EMA55=2.38007 ADX=17.3 | 30m structure=0.50:HH=True, HL=False | key level=0.25:support=2.3801, distance=3.479% | momentum=1.00:RSI=67.9, MACD_hist=0.000485681, ADX=23.4 | volume=0.80:volume ratio=1.34x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0291576 (1.18%) | multi-timeframe=1.00:weighted alignment=1.00"
