symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
XRP-USDT,LONG,MEDIUM,1.48745000,1.39041988,1.69121324,2026-09-15 00:20:45,1789419045,STOP_HIT,1789450620,2026-09-15 11:31:00,1.38972467,0.2000,-6.7700,10.00,10.00,100.00,-67.6999,33483,33494,"4h trend=0.50:price=1.46435 EMA21=1.38014 EMA55=1.38186 ADX=18.7 | 1h trend=1.00:price=1.46435 EMA21=1.40398 EMA55=1.38186 ADX=37.4 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=1.39258, distance=6.378% | momentum=0.60:RSI=81.1, MACD_hist=0.0065614, ADX=55.3 | volume=1.00:volume ratio=1.79x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0144008 (0.97%) | multi-timeframe=0.84:weighted alignment=0.84"
ADA-USDT,LONG,HIGH,0.21530000,0.20721434,0.23147131,2026-09-15 00:20:47,1789419049,STOP_HIT,1789432920,2026-09-15 05:38:00,0.20711073,0.2000,-4.0037,10.00,10.00,100.00,-40.0365,33484,33489,"4h trend=0.50:price=0.2124 EMA21=0.208749 EMA55=0.210306 ADX=9.6 | 1h trend=1.00:price=0.2124 EMA21=0.209598 EMA55=0.208542 ADX=18.8 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.2075, distance=3.623% | momentum=0.60:RSI=70.5, MACD_hist=0.000396711, ADX=26.4 | volume=0.80:volume ratio=1.26x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00190438 (0.88%) | multi-timeframe=0.82:weighted alignment=0.82"
BNB-USDT,SHORT,MEDIUM,719.52000000,734.08279841,688.93812335,2026-09-15 04:14:39,1789433080,OPEN,1789499220,,,,,10.00,10.00,100.00,,33485,,"4h trend=0.85:price=720.379 EMA21=724.016 EMA55=725.362 ADX=14.2 | 1h trend=1.00:price=720.379 EMA21=723.302 EMA55=723.628 ADX=15.2 | 30m structure=0.50:LH=False, LL=True | key level=0.25:resistance=733.622, distance=1.960% | momentum=1.00:RSI=38.1, MACD_hist=-0.806832, ADX=17.5 | volume=0.80:volume ratio=1.39x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=3.07199 (0.43%) | multi-timeframe=0.84:weighted alignment=0.84"
SOL-USDT,LONG,MEDIUM,102.64000000,101.70915912,104.59476585,2026-09-15 04:14:41,1789433084,STOP_HIT,1789433024,2026-09-15 06:35:00,101.65830454,0.2000,-1.1564,10.00,10.00,100.00,-11.5645,33486,33490,"4h trend=0.50:price=102.54 EMA21=101.517 EMA55=101.761 ADX=15.7 | 1h trend=1.00:price=102.54 EMA21=102.263 EMA55=101.687 ADX=25.4 | 30m structure=1.00:HH=True, HL=True | key level=1.00:support=102.96, distance=0.312% | momentum=0.50:RSI=49.6, MACD_hist=-0.161019, ADX=27.9 | volume=0.20:volume ratio=0.50x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.581776 (0.57%) | multi-timeframe=0.62:weighted alignment=0.62"
AVAX-USDT,LONG,MEDIUM,7.56700000,7.41460269,7.88703435,2026-09-15 04:14:45,1789433087,STOP_HIT,1789469160,2026-09-15 18:10:00,7.41089539,0.2000,-2.2630,10.00,10.00,100.00,-22.6297,33487,33500,"4h trend=0.50:price=7.564 EMA21=7.4783 EMA55=7.53674 ADX=16.6 | 1h trend=1.00:price=7.564 EMA21=7.52281 EMA55=7.47266 ADX=28.6 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=7.423, distance=1.903% | momentum=0.70:RSI=50.7, MACD_hist=-0.0140236, ADX=28.1 | volume=1.00:volume ratio=2.26x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.0559821 (0.74%) | multi-timeframe=0.65:weighted alignment=0.65"
OP-USDT,LONG,LOW,0.10270000,0.10104391,0.10667462,2026-09-15 04:14:48,1789433091,STOP_HIT,1789433031,2026-09-15 06:06:00,0.10099339,0.2000,-1.8617,10.00,10.00,100.00,-18.6174,33488,33491,"4h trend=0.50:price=0.1021 EMA21=0.0978649 EMA55=0.0988939 ADX=17.9 | 1h trend=1.00:price=0.1021 EMA21=0.0998823 EMA55=0.0980536 ADX=26.9 | 30m structure=1.00:HH=True, HL=True | key level=1.00:support=0.1031, distance=0.389% | momentum=0.70:RSI=58.7, MACD_hist=-0.000317739, ADX=32.6 | volume=1.00:volume ratio=3.88x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00118292 (1.15%) | multi-timeframe=0.76:weighted alignment=0.76"
DOGE-USDT,SHORT,MEDIUM,0.08285000,0.08401873,0.08039568,2026-09-15 09:09:02,1789450743,TP_HIT,1789485660,2026-09-15 22:11:00,0.08043588,0.2000,2.7138,10.00,10.00,100.00,27.1385,33492,33512,"4h trend=0.85:price=0.0833 EMA21=0.0843086 EMA55=0.0853143 ADX=13.9 | 1h trend=1.00:price=0.08317 EMA21=0.0839611 EMA55=0.0841467 ADX=12.0 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=0.08396, distance=1.340% | momentum=0.45:RSI=30.2, MACD_hist=-0.000117769, ADX=19.2 | volume=1.00:volume ratio=2.06x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000391504 (0.47%) | multi-timeframe=0.95:weighted alignment=0.95"
SOL-USDT,SHORT,MEDIUM,100.71000000,101.65613883,98.72310846,2026-09-15 14:17:54,1789469276,TP_HIT,1789469216,2026-09-15 18:11:00,98.77247001,0.2000,1.7239,10.00,10.00,100.00,17.2387,33495,33501,"4h trend=1.00:price=100.46 EMA21=101.425 EMA55=101.708 ADX=14.2 | 1h trend=0.50:price=100.83 EMA21=101.622 EMA55=101.575 ADX=19.7 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=101.59, distance=0.874% | momentum=1.00:RSI=37.5, MACD_hist=-0.039258, ADX=30.6 | volume=0.20:volume ratio=0.65x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.440926 (0.44%) | multi-timeframe=0.79:weighted alignment=0.79"
ADA-USDT,SHORT,LOW,0.20510000,0.20597239,0.20300625,2026-09-15 14:17:59,1789469280,STOP_HIT,1789469220,2026-09-15 16:24:00,0.20607538,0.2000,-0.6756,10.00,10.00,100.00,-6.7556,33496,33502,"4h trend=1.00:price=0.2037 EMA21=0.207985 EMA55=0.209837 ADX=9.1 | 1h trend=1.00:price=0.2049 EMA21=0.207107 EMA55=0.207822 ADX=18.7 | 30m structure=1.00:LH=True, LL=True | key level=1.00:resistance=0.2058, distance=0.341% | momentum=0.70:RSI=42.3, MACD_hist=0.000126627, ADX=34.1 | volume=0.20:volume ratio=0.33x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0011493 (0.56%) | multi-timeframe=0.87:weighted alignment=0.87"
SOL-USDT,SHORT,HIGH,98.83000000,101.47055099,93.54889801,2026-09-15 18:52:40,1789485760,OPEN,1789499220,,,,,10.00,10.00,100.00,,33503,,"4h trend=1.00:price=100.85 EMA21=101.373 EMA55=101.678 ADX=13.5 | 1h trend=1.00:price=98.83 EMA21=101.139 EMA55=101.38 ADX=21.4 | 30m structure=0.00:LH=False, LL=False | key level=0.25:resistance=101.38, distance=2.580% | momentum=0.60:RSI=23.2, MACD_hist=-0.0984882, ADX=27.8 | volume=1.00:volume ratio=4.86x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.603673 (0.61%) | multi-timeframe=1.00:weighted alignment=1.00"
XRP-USDT,LONG,MEDIUM,1.38468000,1.36019241,1.43610394,2026-09-15 18:52:42,1789485764,STOP_HIT,1789485704,2026-09-15 22:07:00,1.35951231,0.2000,-2.0176,10.00,10.00,100.00,-20.1758,33504,33513,"4h trend=1.00:price=1.40125 EMA21=1.38884 EMA55=1.38543 ADX=24.7 | 1h trend=0.65:price=1.38468 EMA21=1.40784 EMA55=1.39699 ADX=20.8 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=1.39364, distance=0.647% | momentum=0.60:RSI=39.0, MACD_hist=0.000133853, ADX=21.0 | volume=1.00:volume ratio=2.56x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0153047 (1.11%) | multi-timeframe=0.58:weighted alignment=0.58"
