symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
ADA-USDT,LONG,HIGH,0.20150000,0.19969492,0.20511016,2026-09-18 04:01:00,1789691460,TP_HIT,1789691400,2026-09-18 04:30:00,0.20500760,0.2000,1.5407,10.00,10.00,100.00,15.4075,33589,33596,order_flow=0.43:buyVol=543496 sellVol=889578 delta=-0.24 closePos=0.51 | volume_profile=0.95:POC=0.197925 VA[0.193983..0.2076] price=0.2015 | sweep=0.95:sweep=swept low 0.2011 4 bars ago | liquidity=0.70:eq-lows fuel @ 0.19745 | fvg=1.00:fvg=bull FVG [0.2012..0.2022] 0.1 ATR | fibonacci=0.35:no up-leg | supply_demand=1.00:zone=demand [0.2008..0.204] -0.7 ATR below | moving_average=1.00:price=0.2015 EMA21=0.201431 EMA50=0.199924 slope=+0.0001 | macd=0.30:MACD=0.00058168 sig=0.000784273 hist=-0.000202593 | rsi=0.55:RSI=52.0 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
ARB-USDT,LONG,HIGH,0.17890000,0.17113335,0.19443330,2026-09-18 04:01:10,1789691471,TP_HIT,1789691411,2026-09-18 05:16:00,0.19433608,0.2000,8.4283,10.00,10.00,100.00,84.2833,33590,33597,order_flow=0.54:buyVol=8702926 sellVol=8474147 delta=+0.01 closePos=0.59 | volume_profile=0.95:POC=0.165125 VA[0.14975..0.1805] price=0.1789 | sweep=0.95:sweep=swept low 0.173 5 bars ago | liquidity=0.35:no pools in range | fvg=0.57:fvg=bull FVG [0.1745..0.1747] 1.1 ATR | fibonacci=0.40:retr=0.116 of [0.1354..0.1846] | supply_demand=1.00:zone=demand [0.1724..0.1839] 0.2 ATR below | moving_average=1.00:price=0.1789 EMA21=0.174342 EMA50=0.169835 slope=+0.00154 | macd=0.30:MACD=0.002608 sig=0.00271822 hist=-0.000110226 | rsi=0.55:RSI=60.8 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
ETH-USDT,LONG,HIGH,2482.12000000,2435.35589834,2575.64820333,2026-09-18 08:57:42,1789709264,TP_HIT,1789725420,2026-09-18 17:21:00,2574.36037923,0.2000,3.5162,10.00,10.00,100.00,35.1619,33598,33601,order_flow=0.72:buyVol=4300 sellVol=1164 delta=+0.57 closePos=0.62 | volume_profile=0.85:POC=2398.29 VA[2385.12..2437.78] price=2482.12 | sweep=0.74:sweep=swept low 2454.61 7 bars ago | liquidity=0.65:eq-highs magnet @ 2484.2 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.024 of [2358.8..2485.16] | supply_demand=0.64:zone=demand [2462.42..2476.64] 1.1 ATR below | moving_average=1.00:price=2482.12 EMA21=2460.64 EMA50=2451.23 slope=+9.61 | macd=1.00:MACD=6.43994 sig=3.33155 hist=3.10839 | rsi=0.55:RSI=64.4 | pattern=1.00:pattern=BULLISH_ENGULFING | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
XAUT-USDT,LONG,MEDIUM,4366.30000000,4334.18005629,4433.75188178,2026-09-18 08:57:59,1789709279,OPEN,1789845000,,,,,10.00,10.00,100.00,,33599,,"order_flow=0.66:buyVol=31 sellVol=12 delta=+0.44 closePos=0.58 | volume_profile=0.85:POC=4262.83 VA[4260.02..4333] price=4366.3 | sweep=0.82:sweep=swept low 4354.52 3 bars ago | liquidity=1.00:eq-lows fuel @ 4344.3, eq-highs magnet @ 4366.84 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.086 of [4243.18..4377.91] | supply_demand=1.00:zone=demand [4347.26..4376.49] 0.5 ATR below | moving_average=1.00:price=4366.3 EMA21=4352.24 EMA50=4342.42 slope=+2.69 | macd=1.00:MACD=4.06675 sig=3.72072 hist=0.346031 | rsi=0.55:RSI=60.2 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
ARB-USDT,LONG,HIGH,0.20900000,0.20181305,0.22337390,2026-09-18 17:39:19,1789740559,TP_HIT,1789753440,2026-09-18 21:38:00,0.22326221,0.2000,6.6240,10.00,10.00,100.00,66.2403,33602,33606,order_flow=0.46:buyVol=4327311 sellVol=7449318 delta=-0.27 closePos=0.60 | volume_profile=0.85:POC=0.164481 VA[0.156158..0.182792] price=0.209 | sweep=0.94:sweep=swept low 0.2061 6 bars ago | liquidity=0.70:eq-lows fuel @ 0.2028 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.255 of [0.1495..0.2294] | supply_demand=1.00:zone=demand [0.2052..0.2172] -0.4 ATR below | moving_average=1.00:price=0.209 EMA21=0.206736 EMA50=0.195784 slope=+0.0017 | macd=0.30:MACD=0.00415641 sig=0.00553649 hist=-0.00138007 | rsi=0.55:RSI=57.5 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
XLM-USDT,LONG,HIGH,0.19270000,0.19004222,0.19801556,2026-09-18 21:15:42,1789753542,TP_HIT,1789810680,2026-09-19 16:22:00,0.19791655,0.2000,2.5071,10.00,10.00,100.00,25.0708,33603,33617,order_flow=0.70:buyVol=3784042 sellVol=1758598 delta=+0.37 closePos=0.73 | volume_profile=0.95:POC=0.19195 VA[0.1816..0.1942] price=0.1927 | sweep=0.35:sweep=none | liquidity=0.65:eq-highs magnet @ 0.1942 | fvg=0.57:fvg=bull FVG [0.1902..0.1913] 1.1 ATR | fibonacci=0.40:retr=0.069 of [0.1726..0.1942] | supply_demand=1.00:zone=demand [0.1921..0.1941] -0.2 ATR below | moving_average=1.00:price=0.1927 EMA21=0.189642 EMA50=0.187482 slope=+0.0022 | macd=0.70:MACD=0.00166026 sig=0.00127381 hist=0.000386449 | rsi=0.55:RSI=64.6 | pattern=1.00:pattern=BULLISH_ENGULFING | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
APT-USDT,LONG,HIGH,0.69360000,0.66751831,0.74576338,2026-09-18 21:15:45,1789753546,TP_HIT,1789762380,2026-09-19 00:56:00,0.74539050,0.2000,7.2669,10.00,10.00,100.00,72.6691,33604,33609,order_flow=0.53:buyVol=173610 sellVol=183784 delta=-0.03 closePos=0.59 | volume_profile=0.95:POC=0.668931 VA[0.5869..0.7119] price=0.6936 | sweep=0.96:sweep=swept low 0.6783 4 bars ago | liquidity=0.70:eq-lows fuel @ 0.6614 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.098 of [0.5244..0.7119] | supply_demand=1.00:zone=demand [0.6613..0.6981] 1.2 ATR below | moving_average=1.00:price=0.6936 EMA21=0.675568 EMA50=0.649017 slope=+0.00613 | macd=0.30:MACD=0.011053 sig=0.0128666 hist=-0.0018136 | rsi=0.55:RSI=64.6 | pattern=1.00:pattern=BULLISH_ENGULFING | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
OP-USDT,LONG,HIGH,0.11300000,0.11008082,0.11883836,2026-09-18 21:15:47,1789753550,TP_HIT,1789762320,2026-09-19 00:09:00,0.11877894,0.2000,4.9141,10.00,10.00,100.00,49.1411,33605,33610,order_flow=0.70:buyVol=461396 sellVol=229852 delta=+0.33 closePos=0.75 | volume_profile=0.95:POC=0.11221 VA[0.096925..0.1159] price=0.113 | sweep=0.35:sweep=none | liquidity=0.70:eq-lows fuel @ 0.10895 | fvg=0.60:fvg=bull FVG [0.1113..0.1118] 1.0 ATR | fibonacci=0.40:retr=0.115 of [0.0906..0.1159] | supply_demand=1.00:zone=demand [0.1062..0.1152] 1.6 ATR below | moving_average=1.00:price=0.113 EMA21=0.110748 EMA50=0.107511 slope=+0.00117 | macd=0.30:MACD=0.00143672 sig=0.00150018 hist=-6.34554e-05 | rsi=0.55:RSI=63.6 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
ADA-USDT,LONG,HIGH,0.22230000,0.21750959,0.23188082,2026-09-18 23:44:35,1789762475,TP_HIT,1789777500,2026-09-19 06:06:00,0.23176488,0.2000,4.0577,10.00,10.00,100.00,40.5771,33607,33611,order_flow=0.67:buyVol=2390482 sellVol=855039 delta=+0.47 closePos=0.58 | volume_profile=0.95:POC=0.21439 VA[0.195883..0.2233] price=0.2223 | sweep=0.71:sweep=swept low 0.2179 6 bars ago | liquidity=0.70:eq-lows fuel @ 0.21785 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.030 of [0.1904..0.2233] | supply_demand=0.57:zone=demand [0.2186..0.2208] 1.3 ATR below | moving_average=1.00:price=0.2223 EMA21=0.218449 EMA50=0.213631 slope=+0.00219 | macd=1.00:MACD=0.00252709 sig=0.00247968 hist=4.74166e-05 | rsi=0.00:RSI=70.7 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
TRX-USDT,LONG,HIGH,0.33890000,0.33792100,0.34085799,2026-09-18 23:44:40,1789762480,STOP_HIT,1789777500,2026-09-19 04:50:00,0.33775204,0.2000,-0.5387,10.00,10.00,100.00,-5.3873,33608,33612,"order_flow=0.64:buyVol=1597554 sellVol=895068 delta=+0.28 closePos=0.65 | volume_profile=0.85:POC=0.334881 VA[0.333962..0.336325] price=0.3389 | sweep=0.74:sweep=swept low 0.3381 3 bars ago | liquidity=1.00:eq-lows fuel @ 0.33805, eq-highs magnet @ 0.339733 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.175 of [0.3337..0.34] | supply_demand=1.00:zone=demand [0.3384..0.339] 0.4 ATR below | moving_average=1.00:price=0.3389 EMA21=0.338298 EMA50=0.337301 slope=+0.000124 | macd=0.00:MACD=0.000509767 sig=0.000661844 hist=-0.000152077 | rsi=0.55:RSI=60.6 | pattern=0.55:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
