symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
BNB-USDT,LONG,MEDIUM,791.91800000,781.92356405,812.90631549,2026-09-23 04:22:00,1790124722,STOP_HIT,1790124662,2026-09-23 13:24:00,781.53260227,0.2000,-1.5114,10.00,10.00,100.00,-15.1142,33659,33669,"order_flow=0.59:buyVol=1736 sellVol=1115 delta=+0.22 closePos=0.57 | volume_profile=0.95:POC=789.547 VA[771.745..802.602] price=791.918 | sweep=0.82:sweep=swept low 784.773 5 bars ago | liquidity=1.00:eq-lows fuel @ 783.072, eq-highs magnet @ 793.571 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.271 of [750.382..807.349] | supply_demand=1.00:zone=demand [787.981..794.2] 0.2 ATR below | moving_average=0.55:price=791.918 EMA21=787.638 EMA50=787.853 slope=+0.287 | macd=1.00:MACD=0.01489 sig=-0.54141 hist=0.5563 | rsi=0.55:RSI=59.7 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
DOGE-USDT,LONG,MEDIUM,0.10065000,0.09915163,0.10379658,2026-09-23 04:22:04,1790124726,TP_HIT,1790124666,2026-09-23 06:30:00,0.10374468,0.2000,2.8747,10.00,10.00,100.00,28.7470,33660,33670,"order_flow=0.62:buyVol=22990963 sellVol=10880528 delta=+0.36 closePos=0.53 | volume_profile=0.95:POC=0.100159 VA[0.092665..0.101482] price=0.10065 | sweep=0.77:sweep=swept low 0.09947 5 bars ago | liquidity=1.00:eq-lows fuel @ 0.0984433, eq-highs magnet @ 0.10113 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.248 of [0.08473..0.10589] | supply_demand=0.56:zone=demand [0.09854..0.10002] 1.4 ATR below | moving_average=1.00:price=0.10065 EMA21=0.100021 EMA50=0.0990792 slope=+0.000264 | macd=1.00:MACD=0.000314359 sig=0.000288571 hist=2.57883e-05 | rsi=0.55:RSI=57.4 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
POL-USDT,LONG,MEDIUM,0.10950000,0.10726011,0.11420377,2026-09-23 04:22:08,1790124730,STOP_HIT,1790158260,2026-09-23 14:52:00,0.10720648,0.2000,-2.2945,10.00,10.00,100.00,-22.9454,33661,33676,"order_flow=0.65:buyVol=1306151 sellVol=637182 delta=+0.34 closePos=0.63 | volume_profile=0.95:POC=0.10861 VA[0.106454..0.110767] price=0.1095 | sweep=0.95:sweep=swept low 0.1084 5 bars ago | liquidity=1.00:eq-lows fuel @ 0.1069, eq-highs magnet @ 0.11055 | fvg=0.69:fvg=bull FVG [0.1088..0.109] 0.6 ATR | fibonacci=1.00:retr=0.443 of [0.1031..0.1146] | supply_demand=1.00:zone=demand [0.1091..0.1102] -0.2 ATR below | moving_average=0.55:price=0.1095 EMA21=0.108908 EMA50=0.109079 slope=+0.000293 | macd=1.00:MACD=0.00014984 sig=-2.83717e-05 hist=0.000178212 | rsi=0.55:RSI=55.6 | pattern=0.50:pattern=DOJI | ai_committee=0.50:AI unavailable: no API keys configured"
LTC-USDT,LONG,HIGH,62.91000000,62.04827449,64.63345101,2026-09-23 04:22:11,1790124734,TP_HIT,1790124674,2026-09-23 10:28:00,64.60113428,0.2000,2.4882,10.00,10.00,100.00,24.8818,33662,33671,"order_flow=0.56:buyVol=33663 sellVol=22956 delta=+0.19 closePos=0.51 | volume_profile=0.95:POC=62.5431 VA[60.0179..62.9888] price=62.91 | sweep=0.35:sweep=none | liquidity=1.00:eq-lows fuel @ 61.09, eq-highs magnet @ 63.505 | fvg=0.80:fvg=bull FVG [62.73..62.81] 0.2 ATR | fibonacci=0.40:retr=0.136 of [56.75..63.88] | supply_demand=1.00:zone=demand [62.08..62.92] 0.6 ATR below | moving_average=1.00:price=62.91 EMA21=62.4082 EMA50=61.7594 slope=+0.473 | macd=0.70:MACD=0.489036 sig=0.455835 hist=0.0332008 | rsi=0.55:RSI=58.0 | pattern=0.50:pattern=DOJI | ai_committee=0.50:AI unavailable: no API keys configured"
AVAX-USDT,LONG,HIGH,11.28700000,10.91880650,12.02338700,2026-09-23 04:22:16,1790124738,STOP_HIT,1790158320,2026-09-23 15:32:00,10.91334710,0.2000,-3.5105,10.00,10.00,100.00,-35.1047,33663,33677,order_flow=0.63:buyVol=193966 sellVol=99731 delta=+0.32 closePos=0.59 | volume_profile=0.95:POC=11.1446 VA[10.905..11.3842] price=11.287 | sweep=0.84:sweep=swept low 11.111 6 bars ago | liquidity=0.35:no pools in range | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.309 of [10.152..11.795] | supply_demand=0.75:zone=demand [11.138..11.276] 0.7 ATR below | moving_average=1.00:price=11.287 EMA21=11.1225 EMA50=11.0565 slope=+0.105 | macd=1.00:MACD=0.0778433 sig=0.0509067 hist=0.0269366 | rsi=0.55:RSI=65.2 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured
ATOM-USDT,LONG,HIGH,1.83660000,1.78714564,1.93550872,2026-09-23 04:22:19,1790124741,STOP_HIT,1790158260,2026-09-23 15:08:00,1.78625207,0.2000,-2.9414,10.00,10.00,100.00,-29.4137,33664,33678,order_flow=0.46:buyVol=46393 sellVol=52999 delta=-0.07 closePos=0.44 | volume_profile=0.85:POC=1.78705 VA[1.75078..1.80719] price=1.8366 | sweep=0.74:sweep=swept low 1.7918 5 bars ago | liquidity=0.70:eq-lows fuel @ 1.79105 | fvg=0.64:fvg=bull FVG [1.8078..1.8308] 0.8 ATR | fibonacci=0.40:retr=0.140 of [1.6702..1.8636] | supply_demand=1.00:zone=demand [1.8308..1.8486] -0.2 ATR below | moving_average=1.00:price=1.8366 EMA21=1.80268 EMA50=1.78949 slope=+0.0207 | macd=1.00:MACD=0.0169888 sig=0.010962 hist=0.00602677 | rsi=0.55:RSI=63.7 | pattern=0.00:pattern=SHOOTING_STAR | ai_committee=0.50:AI unavailable: no API keys configured
XLM-USDT,LONG,HIGH,0.21740000,0.21315039,0.22589922,2026-09-23 04:22:22,1790124745,STOP_HIT,1790158320,2026-09-23 15:33:00,0.21304381,0.2000,-2.2038,10.00,10.00,100.00,-22.0377,33665,33679,order_flow=0.57:buyVol=4611562 sellVol=2701353 delta=+0.26 closePos=0.48 | volume_profile=0.95:POC=0.214356 VA[0.208712..0.217492] price=0.2174 | sweep=0.87:sweep=swept low 0.2144 5 bars ago | liquidity=0.35:no pools in range | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.086 of [0.1899..0.22] | supply_demand=0.70:zone=demand [0.2139..0.2168] 0.9 ATR below | moving_average=1.00:price=0.2174 EMA21=0.215167 EMA50=0.2133 slope=+0.000851 | macd=1.00:MACD=0.000995099 sig=0.00089089 hist=0.000104209 | rsi=0.55:RSI=60.2 | pattern=1.00:pattern=BULLISH_ENGULFING | ai_committee=0.50:AI unavailable: no API keys configured
ARB-USDT,LONG,HIGH,0.24190000,0.21577664,0.29414672,2026-09-23 04:22:27,1790124749,OPEN,1790202240,,,,,10.00,10.00,100.00,,33666,,order_flow=0.88:buyVol=13445104 sellVol=664738 delta=+0.91 closePos=0.76 | volume_profile=0.85:POC=0.2189 VA[0.211433..0.230633] price=0.2419 | sweep=0.97:sweep=swept low 0.2262 3 bars ago | liquidity=0.35:no pools in range | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.113 of [0.1965..0.2477] | supply_demand=1.00:zone=demand [0.2405..0.2446] -0.2 ATR below | moving_average=1.00:price=0.2419 EMA21=0.223135 EMA50=0.221181 slope=+0.00568 | macd=1.00:MACD=0.00395783 sig=0.00124372 hist=0.00271411 | rsi=0.00:RSI=83.3 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured
SUI-USDT,LONG,MEDIUM,1.02790000,1.00124582,1.08387378,2026-09-23 04:22:31,1790124753,STOP_HIT,1790158320,2026-09-23 16:38:00,1.00074520,0.2000,-2.8418,10.00,10.00,100.00,-28.4177,33667,33680,"order_flow=0.65:buyVol=2069124 sellVol=710583 delta=+0.49 closePos=0.50 | volume_profile=0.95:POC=1.02024 VA[0.936829..1.0814] price=1.0279 | sweep=1.00:sweep=swept low 1.0275 1 bars ago | liquidity=1.00:eq-lows fuel @ 0.9998, eq-highs magnet @ 1.0565 | fvg=0.63:fvg=bull FVG [1.0164..1.0176] 0.9 ATR | fibonacci=0.40:retr=0.200 of [0.8145..1.0814] | supply_demand=1.00:zone=demand [1.022..1.0371] -0.1 ATR below | moving_average=1.00:price=1.0279 EMA21=1.01546 EMA50=1.01161 slope=+0.00558 | macd=1.00:MACD=0.00259959 sig=-0.000178973 hist=0.00277856 | rsi=0.55:RSI=58.4 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
LTC-USDT,SHORT,MEDIUM,61.04000000,63.18195441,56.54189574,2026-09-23 22:41:07,1790190668,OPEN,1790202240,,,,,10.00,10.00,100.00,,33681,,"order_flow=0.50:buyVol=29924 sellVol=39631 delta=-0.14 closePos=0.60 | volume_profile=0.95:POC=62.9067 VA[60.3733..63.04] price=61.04 | sweep=0.91:sweep=swept high 61.08 1 bars ago | liquidity=1.00:eq-highs fuel @ 63.03, eq-lows magnet @ 60.2 | fvg=1.00:fvg=bear FVG [60.95..61.98] 0.5 ATR | fibonacci=0.35:no down-leg | supply_demand=1.00:zone=supply [60.08..62.69] 0.4 ATR above | moving_average=1.00:price=61.04 EMA21=61.3545 EMA50=61.8544 slope=-0.573 | macd=0.70:MACD=-0.613817 sig=-0.595725 hist=-0.0180919 | rsi=0.55:RSI=45.4 | pattern=0.00:pattern=BULLISH_ENGULFING | ai_committee=0.69:AI 2 approve/1 reject score=0.69 | openrouter: APPROVE 72% — Strong confluence: bear FVG, supply zone, liquidit | mistral: FAIL — open-mistral-nemo: unparseable reply | cerebras: FAIL — qwen-3-32b: HTTP 404: {""message"":""Model does not exist or yo | groq: APPROVE 80% — Confluence "
