symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
BTC-USDT,SHORT,HIGH,83945.10000000,84155.34477079,83524.61045842,2026-09-26 04:17:39,1790383660,STOP_HIT,1790401560,2026-09-26 12:02:00,84197.42244318,0.2000,-0.5006,10.00,10.00,100.00,-5.0058,33701,33714,"order_flow=0.38:buyVol=151 sellVol=83 delta=+0.29 closePos=0.58 | volume_profile=0.95:POC=84592.6 VA[83890..84656.5] price=83945.1 | sweep=0.77:sweep=swept high 84075.1 1 bars ago | liquidity=1.00:eq-highs fuel @ 84124.9, eq-lows magnet @ 83378.3 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.351 of [82868..85934] | supply_demand=1.00:zone=supply [83678.8..84856.7] 1.3 ATR above | moving_average=1.00:price=83945.1 EMA21=84003.3 EMA50=84114.4 slope=-8.07 | macd=0.00:MACD=-47.256 sig=-76.3703 hist=29.1143 | rsi=0.55:RSI=47.2 | pattern=1.00:pattern=BEARISH_ENGULFING | ai_committee=0.50:AI unavailable: no API keys configured"
ETH-USDT,LONG,HIGH,2686.87000000,2675.43146292,2709.74707415,2026-09-26 04:17:41,1790383664,OPEN,1790419260,,,,,10.00,10.00,100.00,,33702,,"order_flow=0.49:buyVol=1598 sellVol=1528 delta=+0.02 closePos=0.45 | volume_profile=0.45:POC=2687.94 VA[2666.57..2699.82] price=2686.87 | sweep=0.80:sweep=swept low 2687.19 5 bars ago | liquidity=1.00:eq-lows fuel @ 2668.32, eq-highs magnet @ 2694.78 | fvg=1.00:fvg=bull FVG [2683.63..2688.17] 0.1 ATR | fibonacci=1.00:retr=0.489 of [2628.58..2742.56] | supply_demand=1.00:zone=demand [2670.09..2693.54] 0.5 ATR below | moving_average=0.45:price=2686.87 EMA21=2690.32 EMA50=2690.21 slope=-0.894 | macd=1.00:MACD=-1.14722 sig=-1.17342 hist=0.026202 | rsi=0.35:RSI=46.8 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
BNB-USDT,LONG,MEDIUM,776.79900000,771.08353480,788.80147692,2026-09-26 04:17:45,1790383668,STOP_HIT,1790401560,2026-09-26 12:47:00,770.69799303,0.2000,-0.9854,10.00,10.00,100.00,-9.8540,33703,33715,"order_flow=0.50:buyVol=1277 sellVol=1385 delta=-0.04 closePos=0.54 | volume_profile=0.95:POC=767.475 VA[764.41..777.897] price=776.799 | sweep=0.80:sweep=swept low 774.4 5 bars ago | liquidity=1.00:eq-lows fuel @ 771.193, eq-highs magnet @ 780.021 | fvg=0.71:fvg=bull FVG [774.93..775.994] 0.6 ATR | fibonacci=0.75:retr=0.329 of [757.054..786.479] | supply_demand=1.00:zone=demand [774.512..777.068] 0.4 ATR below | moving_average=0.55:price=776.799 EMA21=775.229 EMA50=775.304 slope=+0.616 | macd=1.00:MACD=0.245979 sig=-0.165875 hist=0.411854 | rsi=0.55:RSI=56.3 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
XRP-USDT,LONG,HIGH,1.56418000,1.54751930,1.59750139,2026-09-26 04:17:49,1790383672,STOP_HIT,1790401560,2026-09-26 09:32:00,1.54674554,0.2000,-1.3146,10.00,10.00,100.00,-13.1461,33704,33716,"order_flow=0.45:buyVol=2459859 sellVol=2530185 delta=-0.01 closePos=0.38 | volume_profile=0.95:POC=1.50021 VA[1.48171..1.57052] price=1.56418 | sweep=0.95:sweep=swept low 1.56226 5 bars ago | liquidity=1.00:eq-lows fuel @ 1.55005, eq-highs magnet @ 1.57433 | fvg=0.78:fvg=bull FVG [1.55766..1.56362] 0.3 ATR | fibonacci=0.75:retr=0.369 of [1.45211..1.62972] | supply_demand=1.00:zone=demand [1.55668..1.58712] -0.6 ATR below | moving_average=0.45:price=1.56418 EMA21=1.56604 EMA50=1.55772 slope=-0.0011 | macd=0.30:MACD=0.000751173 sig=0.00193936 hist=-0.00118819 | rsi=0.35:RSI=49.5 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
ADA-USDT,LONG,MEDIUM,0.25750000,0.25201465,0.26901924,2026-09-26 04:17:52,1790383675,OPEN,1790419260,,,,,10.00,10.00,100.00,,33705,,"order_flow=0.55:buyVol=1607781 sellVol=1333764 delta=+0.09 closePos=0.57 | volume_profile=0.95:POC=0.254738 VA[0.240675..0.2598] price=0.2575 | sweep=0.92:sweep=swept low 0.2538 5 bars ago | liquidity=1.00:eq-lows fuel @ 0.2507, eq-highs magnet @ 0.2584 | fvg=0.78:fvg=bull FVG [0.2564..0.2571] 0.3 ATR | fibonacci=0.40:retr=0.085 of [0.2328..0.2598] | supply_demand=0.72:zone=demand [0.2542..0.2566] 0.8 ATR below | moving_average=1.00:price=0.2575 EMA21=0.255569 EMA50=0.252971 slope=+0.00139 | macd=1.00:MACD=0.0013741 sig=0.00117053 hist=0.000203573 | rsi=0.55:RSI=57.2 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
POL-USDT,LONG,HIGH,0.11700000,0.11310719,0.12478562,2026-09-26 04:17:57,1790383679,OPEN,1790419260,,,,,10.00,10.00,100.00,,33706,,order_flow=0.74:buyVol=1401333 sellVol=290564 delta=+0.66 closePos=0.60 | volume_profile=0.85:POC=0.102481 VA[0.0999..0.112437] price=0.117 | sweep=0.35:sweep=none | liquidity=0.65:eq-highs magnet @ 0.1176 | fvg=0.61:fvg=bull FVG [0.1152..0.1163] 1.0 ATR | fibonacci=0.40:retr=0.034 of [0.0999..0.1176] | supply_demand=1.00:zone=demand [0.1163..0.1172] 0.2 ATR below | moving_average=1.00:price=0.117 EMA21=0.114441 EMA50=0.112027 slope=+0.00154 | macd=0.70:MACD=0.00146772 sig=0.0013066 hist=0.000161118 | rsi=0.55:RSI=67.6 | pattern=1.00:pattern=BULLISH_ENGULFING | ai_committee=0.50:AI unavailable: no API keys configured
LTC-USDT,LONG,MEDIUM,71.86000000,70.30673989,75.12184624,2026-09-26 04:18:00,1790383683,OPEN,1790419260,,,,,10.00,10.00,100.00,,33707,,"order_flow=0.46:buyVol=24496 sellVol=35269 delta=-0.18 closePos=0.53 | volume_profile=0.95:POC=67.91 VA[66.2433..74.2433] price=71.86 | sweep=0.85:sweep=swept low 70.71 6 bars ago | liquidity=1.00:eq-lows fuel @ 70.4133, eq-highs magnet @ 72.255 | fvg=1.00:fvg=bull FVG [71.01..72.75] 0.0 ATR | fibonacci=0.40:retr=0.191 of [58.91..74.91] | supply_demand=1.00:zone=demand [70.91..74.02] -0.7 ATR below | moving_average=1.00:price=71.86 EMA21=71.312 EMA50=70.7323 slope=+0.732 | macd=0.70:MACD=0.488264 sig=0.291227 hist=0.197038 | rsi=0.55:RSI=56.7 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
AVAX-USDT,LONG,HIGH,10.59600000,10.39143368,11.00513264,2026-09-26 04:18:04,1790383686,OPEN,1790419320,,,,,10.00,10.00,100.00,,33708,,order_flow=0.41:buyVol=129178 sellVol=217150 delta=-0.25 closePos=0.48 | volume_profile=0.85:POC=10.2456 VA[10.1838..10.472] price=10.596 | sweep=0.69:sweep=swept low 10.413 7 bars ago | liquidity=0.70:eq-lows fuel @ 10.4105 | fvg=0.78:fvg=bull FVG [10.565..10.569] 0.3 ATR | fibonacci=0.75:retr=0.374 of [9.978..10.966] | supply_demand=1.00:zone=demand [10.41..10.65] 0.6 ATR below | moving_average=1.00:price=10.596 EMA21=10.5073 EMA50=10.4365 slope=+0.0671 | macd=1.00:MACD=0.0610351 sig=0.047364 hist=0.0136711 | rsi=0.55:RSI=58.0 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured
ATOM-USDT,LONG,MEDIUM,1.80140000,1.75963128,1.88911432,2026-09-26 04:18:07,1790383690,OPEN,1790419320,,,,,10.00,10.00,100.00,,33709,,"order_flow=0.65:buyVol=43142 sellVol=17572 delta=+0.42 closePos=0.56 | volume_profile=0.85:POC=1.73261 VA[1.68121..1.78402] price=1.8014 | sweep=0.95:sweep=swept low 1.777 5 bars ago | liquidity=1.00:eq-lows fuel @ 1.7632, eq-highs magnet @ 1.80437 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.186 of [1.6675..1.832] | supply_demand=0.78:zone=demand [1.7831..1.8006] 0.6 ATR below | moving_average=1.00:price=1.8014 EMA21=1.78493 EMA50=1.78161 slope=+0.00403 | macd=1.00:MACD=0.00156098 sig=-0.00163147 hist=0.00319245 | rsi=0.55:RSI=57.6 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
XLM-USDT,LONG,MEDIUM,0.21920000,0.21721021,0.22337857,2026-09-26 04:18:11,1790383694,STOP_HIT,1790401560,2026-09-26 09:33:00,0.21710160,0.2000,-1.1573,10.00,10.00,100.00,-11.5730,33710,33717,"order_flow=0.47:buyVol=885244 sellVol=1055157 delta=-0.09 closePos=0.48 | volume_profile=0.85:POC=0.202244 VA[0.1966..0.219175] price=0.2192 | sweep=0.76:sweep=swept low 0.2178 5 bars ago | liquidity=1.00:eq-lows fuel @ 0.21535, eq-highs magnet @ 0.22095 | fvg=0.68:fvg=bull FVG [0.2171..0.2186] 0.7 ATR | fibonacci=0.75:retr=0.249 of [0.1966..0.2267] | supply_demand=1.00:zone=demand [0.2176..0.2232] -0.6 ATR below | moving_average=1.00:price=0.2192 EMA21=0.219126 EMA50=0.217765 slope=+0.00025 | macd=1.00:MACD=0.000292811 sig=0.000215454 hist=7.7358e-05 | rsi=0.55:RSI=50.9 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
